,timestamp,ADA/USDT_open,ADA/USDT_high,ADA/USDT_low,ADA/USDT_close,ADA/USDT_volume,AVAX/USDT_open,AVAX/USDT_high,AVAX/USDT_low,AVAX/USDT_close,AVAX/USDT_volume,BCH/USDT_open,BCH/USDT_high,BCH/USDT_low,BCH/USDT_close,BCH/USDT_volume,BNB/USDT_open,BNB/USDT_high,BNB/USDT_low,BNB/USDT_close,BNB/USDT_volume,BONK/USDT_open,BONK/USDT_high,BONK/USDT_low,BONK/USDT_close,BONK/USDT_volume,BTC/USDT_open,BTC/USDT_high,BTC/USDT_low,BTC/USDT_close,BTC/USDT_volume,CRV/USDT_open,CRV/USDT_high,CRV/USDT_low,CRV/USDT_close,CRV/USDT_volume,DOGE/USDT_open,DOGE/USDT_high,DOGE/USDT_low,DOGE/USDT_close,DOGE/USDT_volume,ENA/USDT_open,ENA/USDT_high,ENA/USDT_low,ENA/USDT_close,ENA/USDT_volume,ERA/USDT_open,ERA/USDT_high,ERA/USDT_low,ERA/USDT_close,ERA/USDT_volume,ES/USDT_open,ES/USDT_high,ES/USDT_low,ES/USDT_close,ES/USDT_volume,ETH/USDT_open,ETH/USDT_high,ETH/USDT_low,ETH/USDT_close,ETH/USDT_volume,FDUSD/USDT_open,FDUSD/USDT_high,FDUSD/USDT_low,FDUSD/USDT_close,FDUSD/USDT_volume,HBAR/USDT_open,HBAR/USDT_high,HBAR/USDT_low,HBAR/USDT_close,HBAR/USDT_volume,HYPER/USDT_open,HYPER/USDT_high,HYPER/USDT_low,HYPER/USDT_close,HYPER/USDT_volume,KERNEL/USDT_open,KERNEL/USDT_high,KERNEL/USDT_low,KERNEL/USDT_close,KERNEL/USDT_volume,LINK/USDT_open,LINK/USDT_high,LINK/USDT_low,LINK/USDT_close,LINK/USDT_volume,LTC/USDT_open,LTC/USDT_high,LTC/USDT_low,LTC/USDT_close,LTC/USDT_volume,MNT/USDT_open,MNT/USDT_high,MNT/USDT_low,MNT/USDT_close,MNT/USDT_volume,PENGU/USDT_open,PENGU/USDT_high,PENGU/USDT_low,PENGU/USDT_close,PENGU/USDT_volume,PEPE/USDT_open,PEPE/USDT_high,PEPE/USDT_low,PEPE/USDT_close,PEPE/USDT_volume,PUMP/USDT_open,PUMP/USDT_high,PUMP/USDT_low,PUMP/USDT_close,PUMP/USDT_volume,SOL/USDT_open,SOL/USDT_high,SOL/USDT_low,SOL/USDT_close,SOL/USDT_volume,SPK/USDT_open,SPK/USDT_high,SPK/USDT_low,SPK/USDT_close,SPK/USDT_volume,SUI/USDT_open,SUI/USDT_high,SUI/USDT_low,SUI/USDT_close,SUI/USDT_volume,TRX/USDT_open,TRX/USDT_high,TRX/USDT_low,TRX/USDT_close,TRX/USDT_volume,USD1/USDT_open,USD1/USDT_high,USD1/USDT_low,USD1/USDT_close,USD1/USDT_volume,USDC/USDT_open,USDC/USDT_high,USDC/USDT_low,USDC/USDT_close,USDC/USDT_volume,WIF/USDT_open,WIF/USDT_high,WIF/USDT_low,WIF/USDT_close,WIF/USDT_volume,XRP/USDT_open,XRP/USDT_high,XRP/USDT_low,XRP/USDT_close,XRP/USDT_volume
0,2024-03-14,0.7643,0.81,0.7133,0.7509,19092712.36,54.83,59.29,50.47,53.94,331706.71,442.4,473.7,417.4,440.6,2746.12171,630.5,631.4,566.0,603.2,13132.404,3.184e-05,3.672e-05,3.064e-05,3.408e-05,240108052388.0,73072.41,73777.0,68570.0,71388.93,9643.665011,0.8628,0.879,0.7847,0.8315,815610.53,0.16896,0.19274,0.1651,0.17711,264736543.97,,,,,,,,,,,,,,,,4004.8,4010.98,3724.12,3881.7,65873.62853,,,,,,0.1323,0.13295,0.11976,0.12709,12404136.53,,,,,,,,,,,20.75,21.947,19.9,20.88,358338.67,97.24,98.24,89.6,94.08,63296.9618,1.0419,1.0826,0.93,0.9877,447103.41,,,,,,9.022e-06,1.0849e-05,8.742e-06,9.961e-06,2511026098138.0,,,,,,163.9,178.39,159.39,176.65,437088.86,,,,,,1.6217,1.6604,1.4743,1.5699,1339217.38,0.13195,0.13201,0.1278,0.12913,86396722.34,,,,,,0.9993,1.002,0.9988,1.0003,20386300.34,2.65042,3.51,2.65042,3.16,4264235.18,0.6888,0.7076,0.6384,0.6691,36513505.6
1,2024-03-15,0.7509,0.7642,0.669,0.7274,15424190.52,53.94,58.9,48.36,58.35,551614.14,440.6,444.8,384.0,416.5,3306.79994,603.2,635.0,543.0,633.3,11584.25,3.408e-05,3.656e-05,2.801e-05,2.952e-05,130522083393.0,71388.93,72419.7,65617.56,69491.06,10979.891725,0.8315,0.8439,0.7112,0.7709,685392.261,0.17711,0.18137,0.1512,0.16354,231747665.0,,,,,,,,,,,,,,,,3881.7,3933.53,3570.39,3741.97,82998.1014,,,,,,0.12709,0.128,0.111,0.12034,10806204.17,,,,,,,,,,,20.88,20.998,18.471,19.626,296045.82,94.08,95.38,83.36,89.66,74233.4099,0.9877,1.0,0.8542,0.8864,404435.83,,,,,,9.961e-06,1.0347e-05,8.224e-06,8.916e-06,1770124234284.0,,,,,,176.65,188.97,164.61,183.91,701302.87,,,,,,1.5699,1.5829,1.348,1.4898,1419803.94,0.12913,0.12936,0.12535,0.12632,105775910.84,,,,,,1.0003,1.0012,0.9995,0.9999,29274207.14,3.16,3.6,2.67003,2.82361,2901960.86,0.6691,0.6755,0.596,0.6339,44691164.63
2,2024-03-16,0.7274,0.7353,0.6504,0.6591,11285479.83,58.35,61.46,52.0,53.46,441973.73,416.5,421.3,382.0,388.6,650.04524,633.3,645.0,567.8,576.5,8241.725,2.952e-05,3.05e-05,2.422e-05,2.514e-05,86096469429.0,69491.06,70043.0,64795.35,65300.63,11229.41511,0.7709,0.7762,0.6795,0.6927,427679.447,0.16354,0.16513,0.13801,0.14252,215899143.2,,,,,,,,,,,,,,,,3741.97,3781.12,3469.18,3523.1,84621.70094,,,,,,0.12034,0.12598,0.1084,0.11096,5912134.2,,,,,,,,,,,19.626,19.828,17.813,18.106,189287.46,89.66,90.74,82.25,84.14,54973.7616,0.8864,0.8968,0.809,0.8204,306463.07,,,,,,8.916e-06,9.074e-06,7.024e-06,7.5e-06,1399729837407.0,,,,,,183.91,197.94,176.8,182.03,500066.61,,,,,,1.4898,1.7197,1.487,1.6327,2643754.0,0.12632,0.12735,0.1248,0.12526,57274093.99,,,,,,0.9999,1.0011,0.999,1.0007,17664203.04,2.82361,2.95,2.05004,2.22412,2033418.69,0.6339,0.6476,0.5928,0.6031,29781755.01
3,2024-03-17,0.6591,0.6876,0.6289,0.6814,10449215.68,53.46,58.5,50.07,58.44,372375.17,388.6,407.7,369.2,402.6,632.14425,576.5,590.4,548.8,571.7,6250.364,2.514e-05,2.861e-05,2.38e-05,2.812e-05,69583703139.0,65300.63,68901.08,64537.85,68393.47,11083.070423,0.6927,0.7155,0.6542,0.6898,369385.235,0.14252,0.15919,0.1367,0.1543,233126059.03,,,,,,,,,,,,,,,,3523.1,3678.36,3413.29,3644.7,91762.94058,,,,,,0.11096,0.12,0.10704,0.11633,5622348.88,,,,,,,,,,,18.106,18.823,17.386,18.665,211161.53,84.14,86.79,80.71,85.9,48128.5786,0.8204,0.877,0.802,0.8676,141402.76,,,,,,7.5e-06,8.473e-06,6.88e-06,7.851e-06,1335656673975.0,,,,,,182.03,204.68,178.59,201.89,526480.0,,,,,,1.6327,1.6427,1.44,1.6122,1532038.02,0.12526,0.12651,0.12431,0.12624,47475597.87,,,,,,1.0007,1.0017,0.9959,1.0008,17829846.11,2.22412,3.4,2.16282,3.03876,2787427.91,0.6031,0.6249,0.587,0.6191,28997780.18
4,2024-03-18,0.6814,0.6986,0.6422,0.6602,12678377.91,58.44,65.39,55.28,60.67,758779.97,402.6,410.9,383.7,400.3,643.55851,571.7,587.5,540.4,555.4,6916.959,2.812e-05,2.812e-05,2.298e-05,2.357e-05,52939431776.0,68393.47,68950.05,66570.28,67610.0,11474.49231,0.6898,0.7006,0.64,0.656,725556.365,0.1543,0.15432,0.14,0.14352,199429763.38,,,,,,,,,,,,,,,,3644.7,3645.02,3455.0,3520.47,94384.93319,,,,,,0.11633,0.11636,0.10782,0.1116,5509806.49,,,,,,,,,,,18.665,19.494,18.044,18.3,345956.57,85.9,88.02,80.77,86.77,64373.2912,0.8676,0.8676,0.8138,0.8368,112651.73,,,,,,7.851e-06,8.19e-06,6.61e-06,6.812e-06,1055106029552.0,,,,,,201.89,210.29,193.82,195.91,684939.28,,,,,,1.6122,1.75,1.5163,1.523,1950217.55,0.12624,0.12671,0.12304,0.12407,51521944.0,,,,,,1.0008,1.001,0.9995,1.0,16290590.08,3.03876,3.29,2.5,2.54949,3367434.73,0.6191,0.6685,0.5949,0.645,47160794.94
5,2024-03-19,0.6602,0.6662,0.5801,0.5866,22848460.05,60.67,61.95,53.2,53.62,807117.47,400.3,411.7,351.0,359.0,764.67234,555.4,560.3,497.9,507.6,9443.441,2.357e-05,2.403e-05,1.955e-05,2.158e-05,62890401159.0,67610.0,68121.23,61556.5,61937.4,12865.030298,0.656,0.6614,0.5783,0.6039,802613.943,0.14352,0.14518,0.12524,0.12879,271737462.03,,,,,,,,,,,,,,,,3520.47,3547.7,3151.0,3159.07,107503.75137,,,,,,0.1116,0.11396,0.099,0.1009,12814392.17,,,,,,,,,,,18.3,18.462,16.5,16.804,541362.15,86.77,87.78,77.17,78.46,125611.7069,0.8368,0.8387,0.7684,0.7924,183613.85,,,,,,6.812e-06,7.695e-06,5.82e-06,6.597e-06,1516488218528.0,,,,,,195.91,198.62,166.03,169.81,993678.89,,,,,,1.523,1.7357,1.4325,1.6481,2314813.61,0.12407,0.12435,0.11047,0.11242,71284751.78,,,,,,1.0,1.0015,0.9992,1.0005,20236573.21,2.54949,2.75,2.08001,2.3141,3441145.89,0.645,0.6488,0.5712,0.5845,64926429.63
6,2024-03-20,0.5866,0.644,0.5691,0.6397,18124215.74,53.62,58.16,50.42,57.07,605641.8,359.0,411.3,348.6,409.8,1719.35018,507.6,558.9,500.2,556.7,7447.474,2.158e-05,2.487e-05,2.047e-05,2.446e-05,60870888978.0,61937.4,68099.99,60786.31,67840.51,13098.717709,0.6039,0.6747,0.5894,0.6716,741210.447,0.12879,0.15315,0.1228,0.15216,273011618.51,,,,,,,,,,,,,,,,3159.07,3535.0,3058.0,3516.75,133077.87648,,,,,,0.1009,0.1125,0.098,0.11143,11036457.92,,,,,,,,,,,16.804,18.495,16.262,18.412,428914.15,78.46,85.29,76.98,84.65,85569.37,0.7924,0.8462,0.752,0.8458,94854.07,,,,,,6.597e-06,8.59e-06,6.428e-06,8.392e-06,1540951749642.0,,,,,,169.81,193.17,162.45,191.75,753228.51,,,,,,1.6481,1.7797,1.5,1.7539,2707060.27,0.11242,0.12116,0.11039,0.12072,32585703.65,,,,,,1.0005,1.0009,0.995,0.9999,24235480.88,2.3141,2.75,1.95106,2.59387,2850158.57,0.5845,0.6187,0.5685,0.6107,50287068.53
7,2024-03-21,0.6397,0.6482,0.6177,0.6318,10228845.23,57.07,57.84,52.77,53.82,292248.24,409.8,435.5,404.1,414.4,1000.20269,556.7,570.9,540.9,553.8,5822.343,2.446e-05,2.46e-05,2.218e-05,2.281e-05,43692722451.0,67840.51,68224.97,64529.99,65501.27,12024.411137,0.6716,0.6849,0.6506,0.6748,439108.594,0.15216,0.15988,0.14649,0.15536,249836268.5,,,,,,,,,,,,,,,,3516.75,3586.98,3412.17,3492.84,111455.5492,,,,,,0.11143,0.11399,0.10698,0.10951,4864564.66,,,,,,,,,,,18.412,18.919,17.882,18.461,249029.44,84.65,87.0,83.57,85.75,62296.2657,0.8458,0.8618,0.8166,0.8305,123760.84,,,,,,8.392e-06,8.5e-06,7.667e-06,7.895e-06,921678581496.0,,,,,,191.75,195.65,175.85,179.46,491455.87,,,,,,1.7539,1.9464,1.7411,1.8277,2665854.96,0.12072,0.12193,0.1204,0.12114,49684212.5,,,,,,0.9999,1.0007,0.996,1.0003,16434882.41,2.59387,2.62483,2.22479,2.2798,1050162.01,0.6107,0.6545,0.5977,0.6402,47325827.08
8,2024-03-22,0.6318,0.6427,0.5989,0.6146,12151746.6,53.82,57.77,51.63,53.43,492243.21,414.4,432.9,391.7,431.1,922.61131,553.8,587.7,535.6,553.7,8701.288,2.281e-05,2.434e-05,2.105e-05,2.169e-05,68279666817.0,65501.27,66639.8,62304.13,63794.8,12297.695638,0.6748,0.6882,0.6387,0.6689,537215.977,0.15536,0.16499,0.14536,0.15286,223174465.43,,,,,,,,,,,,,,,,3492.84,3542.51,3250.38,3336.29,80501.67893,,,,,,0.10951,0.11285,0.10352,0.10652,4866677.0,,,,,,,,,,,18.461,18.582,17.328,18.368,291783.84,85.75,86.2,80.59,83.4,65671.1397,0.8305,0.8471,0.777,0.7882,69589.04,,,,,,7.895e-06,8.275e-06,7.102e-06,7.425e-06,675373695494.0,,,,,,179.46,181.9,167.6,175.19,489777.73,,,,,,1.8277,1.8315,1.6856,1.7306,1275087.11,0.12114,0.12151,0.11496,0.11737,57514692.77,,,,,,1.0003,1.0004,0.9998,0.9999,13571309.83,2.2798,2.49008,2.12,2.23954,1107152.29,0.6402,0.6454,0.5984,0.6115,45390660.68
9,2024-03-23,0.6146,0.6394,0.6102,0.6231,7418463.17,53.43,56.0,52.61,53.46,258833.1,431.1,475.8,420.0,455.9,1514.46615,553.7,567.7,543.4,551.9,4622.123,2.169e-05,2.328e-05,2.144e-05,2.2e-05,41454775832.0,63794.8,65995.0,63000.0,63990.01,17791.955665,0.6689,0.6807,0.653,0.6645,372027.386,0.15286,0.17483,0.1517,0.16197,234442093.81,,,,,,,,,,,,,,,,3336.29,3434.34,3270.89,3330.0,136413.37382,,,,,,0.10652,0.11032,0.10415,0.10638,4316009.28,,,,,,,,,,,18.368,18.47,17.895,18.062,169338.51,83.4,87.5,82.84,85.25,76212.4153,0.7882,0.8345,0.7847,0.8024,70436.22,,,,,,7.425e-06,7.777e-06,7.306e-06,7.321e-06,517939166211.0,,,,,,175.19,178.96,170.42,172.65,286892.97,,,,,,1.7306,1.7408,1.6431,1.6453,1544630.95,0.11737,0.11974,0.11601,0.11823,17452088.88,,,,,,0.9999,1.0001,0.9998,0.9998,9143393.96,2.23954,2.47717,2.14367,2.27498,733080.95,0.6115,0.6329,0.6034,0.6168,24806681.43
