,timestamp,ETH/USDT_open,ETH/USDT_high,ETH/USDT_low,ETH/USDT_close,ETH/USDT_volume,ETH/USDT_zscore
39,2022-02-09,3115.23,3268.73,3055.27,3243.38,11595.5794,0.5123975485179001
40,2022-02-10,3243.38,3279.03,3058.62,3072.09,21016.47056,0.1426593327969509
41,2022-02-11,3072.09,3137.21,2880.02,2927.76,23375.29323,-0.17823070860479848
42,2022-02-12,2927.76,2984.96,2858.8,2918.13,14015.82524,-0.15619159246304273
43,2022-02-13,2918.13,2953.31,2838.17,2870.36,11175.76389,-0.24596781230147433
44,2022-02-14,2870.36,2964.6,2831.56,2929.06,14948.7106,-0.017225999792334624
45,2022-02-15,2929.06,3195.68,2912.61,3183.57,13134.50373,0.8472418705421242
46,2022-02-16,3183.57,3186.39,3045.79,3122.36,11750.05542,0.6532206404073155
47,2022-02-17,3122.36,3159.72,2853.23,2891.97,22786.07262,-0.10124257199505401
48,2022-02-18,2891.97,2943.33,2753.32,2779.24,20170.29181,-0.4504222412021533
49,2022-02-19,2779.24,2830.07,2696.63,2764.57,10559.90007,-0.47372471490136037
50,2022-02-20,2764.57,2764.57,2577.06,2621.19,40952.404,-0.9108798251651874
51,2022-02-21,2621.19,2758.98,2559.05,2568.1,115036.66426,-1.0456007389574187
52,2022-02-22,2568.1,2663.75,2500.37,2636.65,55720.66967,-0.7663421395856626
53,2022-02-23,2636.65,2752.48,2576.55,2579.33,35253.53175,-0.9252249637955046
54,2022-02-24,2579.33,2736.27,2301.56,2596.37,158295.29676,-0.8254523744923037
55,2022-02-25,2596.37,2832.82,2571.98,2767.43,58881.31205,-0.1417455054894704
56,2022-02-26,2767.43,2876.04,2728.49,2779.01,37928.44305,-0.05587446342040268
57,2022-02-27,2779.01,2835.64,2559.22,2616.67,89277.61817,-0.677128715027809
58,2022-02-28,2616.67,2949.99,2569.42,2921.41,96534.16082,0.6198290698293804
59,2022-03-01,2921.41,3036.97,2854.25,2976.33,111483.36051,0.8577197540190481
60,2022-03-02,2976.33,3043.36,2914.08,2947.57,108134.32413,0.6979060111590606
61,2022-03-03,2947.57,2970.42,2785.21,2834.03,55866.13386,0.1745822038427187
62,2022-03-04,2834.03,2835.8,2573.31,2622.28,88655.00281,-0.7755662625179679
63,2022-03-05,2622.28,2684.66,2589.56,2665.16,43278.89902,-0.6275765110654555
64,2022-03-06,2665.16,2675.88,2535.77,2550.65,59514.93501,-1.1810963305511293
65,2022-03-07,2550.65,2647.67,2445.41,2492.15,88104.5966,-1.4651295697987572
66,2022-03-08,2492.15,2624.06,2480.88,2575.9,97130.61767,-1.1206087017721351
67,2022-03-09,2575.9,2773.33,2568.09,2727.39,67486.84088,-0.42245559363801183
68,2022-03-10,2727.39,2733.01,2553.04,2606.34,87700.10116,-1.0171670067271454
69,2022-03-11,2606.34,2677.13,2522.65,2557.18,137657.19873,-1.2445144138414963
70,2022-03-12,2557.18,2613.98,2553.66,2568.85,49904.60221,-1.1583150817503671
71,2022-03-13,2568.85,2602.45,2493.1,2515.42,88038.46748,-1.3492638939344435
72,2022-03-14,2515.42,2609.23,2499.19,2590.24,107510.04694,-0.979687047882294
73,2022-03-15,2590.24,2668.32,2508.14,2617.98,104680.81778,-0.8364707455639093
74,2022-03-16,2617.98,2787.48,2603.74,2774.05,185202.19426,-0.0899902778267046
75,2022-03-17,2774.05,2835.22,2746.85,2812.37,56243.72722,0.11424102601418873
76,2022-03-18,2812.37,2983.67,2765.49,2938.98,97825.8422,0.7387222105175724
77,2022-03-19,2938.98,2986.57,2894.49,2951.25,43801.54031,0.8452331144499778
78,2022-03-20,2951.25,2963.6,2818.59,2860.95,84125.23843,0.44446696893750137
79,2022-03-21,2860.95,2960.4,2830.43,2890.12,112108.56202,0.6902315679864
80,2022-03-22,2890.12,3052.0,2887.05,2969.67,87779.46946,1.1694989565608718
81,2022-03-23,2969.67,3044.85,2920.98,3036.15,163642.73452,1.5014812912882027
82,2022-03-24,3036.15,3128.51,3003.03,3110.87,166813.6454,1.8223535492035294
83,2022-03-25,3110.87,3193.31,3076.3,3102.45,92660.75342,1.6860235048830716
84,2022-03-26,3102.45,3151.68,3085.7,3145.46,34350.13145,1.8122681776832468
85,2022-03-27,3145.46,3299.05,3126.34,3295.94,74186.98105,2.468611404221383
86,2022-03-28,3295.94,3430.0,3275.31,3332.87,106140.50256,2.487301874963477
87,2022-03-29,3332.87,3481.39,3330.18,3401.27,105042.18643,2.5117027497785
88,2022-03-30,3401.27,3446.78,3332.19,3385.8,85924.81686,2.223201183719753
89,2022-03-31,3385.8,3444.76,3261.69,3281.53,125180.30128,1.6974010792042855
90,2022-04-01,3281.53,3481.06,3211.04,3455.24,132356.13585,2.148042682567927
91,2022-04-02,3455.24,3531.37,3431.65,3443.45,158486.68586,1.9503581444315425
92,2022-04-03,3443.45,3579.86,3412.31,3521.54,99604.65755,2.0389917317128656
93,2022-04-04,3521.54,3546.81,3408.29,3519.46,123341.68513,1.8882318944396377
94,2022-04-05,3519.46,3554.68,3399.67,3406.28,96598.72128,1.4473721188537116
95,2022-04-06,3406.28,3407.19,3162.41,3169.2,217603.96572,0.6799851879417117
96,2022-04-07,3169.2,3268.61,3140.12,3228.78,160776.69565,0.8249617499861477
97,2022-04-08,3228.78,3312.93,3173.83,3192.68,111350.97626,0.6756551565674208
98,2022-04-09,3192.68,3268.29,3181.61,3258.35,49708.57537,0.8454925534158657
99,2022-04-10,3258.35,3307.34,3192.88,3202.7,58345.28189,0.6533331781123425
100,2022-04-11,3202.7,3213.32,2949.73,2979.71,175556.43613,-0.03074835025014262
101,2022-04-12,2979.71,3084.72,2950.64,3027.48,151317.95749,0.10080188419616201
102,2022-04-13,3027.48,3128.66,2997.74,3118.01,67895.24211,0.3458170811812577
