,timestamp,ETH/USDT_open,ETH/USDT_high,ETH/USDT_low,ETH/USDT_close,ETH/USDT_volume,ETH/USDT_zscore
39,2019-02-09,118.97,121.04,117.48,118.99,25088.31443,-0.2080195390315278
40,2019-02-10,118.99,125.39,115.76,124.6,24843.66216,0.16835824022311502
41,2019-02-11,124.6,124.92,119.03,120.46,24304.90298,-0.04690635816143075
42,2019-02-12,120.46,123.36,118.12,122.19,25032.0216,0.11296398827130302
43,2019-02-13,122.19,125.81,119.93,121.12,24711.90397,0.09886737961596909
44,2019-02-14,121.12,123.65,119.47,119.68,24103.8215,0.05817720253264353
45,2019-02-15,119.68,123.19,119.34,120.5,24892.56289,0.2162072082302111
46,2019-02-16,120.5,123.73,120.5,122.24,24842.34596,0.4913352476138112
47,2019-02-17,122.24,134.96,121.89,133.56,24192.66027,1.8590870354273563
48,2019-02-18,133.56,147.68,132.4,145.48,21189.44396,3.2959474885852673
49,2019-02-19,145.48,149.77,142.68,143.03,20667.71949,2.6920731427053353
50,2019-02-20,143.03,148.86,139.64,148.64,20759.56815,2.8714800028447853
51,2019-02-21,148.64,149.04,142.81,145.58,20211.19447,2.3482569268256337
52,2019-02-22,145.58,148.83,143.97,147.47,20038.26182,2.273141540863975
53,2019-02-23,147.47,159.57,146.04,157.81,19690.60566,2.746308250007873
54,2019-02-24,157.81,165.91,132.4,132.59,20338.88018,0.8693781870827803
55,2019-02-25,132.59,141.76,132.36,138.14,22791.05629,1.2158661958598445
56,2019-02-26,138.14,138.73,134.04,136.73,25052.74593,1.0726006985808065
57,2019-02-27,136.73,140.76,128.27,135.91,22632.92305,0.9749714602648861
58,2019-02-28,135.91,138.59,133.35,135.6,19119.66108,0.921210795380549
59,2019-03-01,135.6,137.86,134.71,135.15,18650.56112,0.8529393310064851
60,2019-03-02,135.15,136.07,130.24,132.6,22719.62839,0.6494019773563032
61,2019-03-03,132.6,134.72,128.77,130.93,22344.91647,0.512221452576783
62,2019-03-04,130.93,131.37,123.55,126.38,23530.86434,0.18796241861433866
63,2019-03-05,126.38,138.29,125.55,136.95,23749.65986,0.8621591987616823
64,2019-03-06,136.95,140.99,134.21,137.37,73077.45166,0.8488510329937982
65,2019-03-07,137.37,139.98,135.69,136.85,101129.75386,0.7759409521009321
66,2019-03-08,136.85,139.28,131.09,133.66,94960.99244,0.5307397675662848
67,2019-03-09,133.66,138.29,133.09,137.29,86670.00123,0.7339685405622389
68,2019-03-10,137.29,137.85,134.26,135.53,75891.96731,0.5757615805050886
69,2019-03-11,135.52,136.09,130.52,133.26,160852.4548,0.3807821010520373
70,2019-03-12,131.72,134.97,128.0,134.33,226818.4959,0.4197697139990897
71,2019-03-14,131.68,134.58,129.14,132.17,211823.29306,0.22016613079403874
72,2019-03-15,132.17,137.8,132.17,136.59,253040.26904,0.5219202761387234
73,2019-03-16,136.59,144.23,136.52,140.92,237385.34129,0.825243993653446
74,2019-03-17,140.92,141.11,137.19,138.67,232552.61674,0.6047912662614756
