,timestamp,ADA/USDT_open,ADA/USDT_high,ADA/USDT_low,ADA/USDT_close,ADA/USDT_volume,ATOM/USDT_open,ATOM/USDT_high,ATOM/USDT_low,ATOM/USDT_close,ATOM/USDT_volume,DOT/USDT_open,DOT/USDT_high,DOT/USDT_low,DOT/USDT_close,DOT/USDT_volume,LINK/USDT_open,LINK/USDT_high,LINK/USDT_low,LINK/USDT_close,LINK/USDT_volume,LTC/USDT_open,LTC/USDT_high,LTC/USDT_low,LTC/USDT_close,LTC/USDT_volume,XTZ/USDT_open,XTZ/USDT_high,XTZ/USDT_low,XTZ/USDT_close,XTZ/USDT_volume
0,2019-06-28,0.0516,0.0938,0.0516,0.088901,43455413.09,5.53755,5.96329,5.47703,5.92308,1032490.91,,,,,,2.2955,3.0855,2.2093,3.0155,3518303.39,116.24,122.19,114.88,120.18,1294534.4371,0.97827,1.08434,0.96175,1.01145,5479881.35
1,2019-06-29,0.088901,0.090879,0.085001,0.090256,55201977.88,5.92308,6.17217,5.64335,6.06268,1456273.45,,,,,,3.0155,5.9608,2.9389,3.7073,3786641.22,120.18,136.66,116.53,133.99,1258335.5761,1.01145,1.03683,0.95574,1.03051,5693936.03
2,2019-06-30,0.090256,0.09111,0.083068,0.083113,63779032.56,6.06268,6.11004,5.42771,5.44175,1445001.95,,,,,,3.7073,4.2826,3.2647,3.3843,3563893.11,133.99,136.68,120.54,122.96,1285619.0557,1.03051,1.0495,0.90784,0.9321,4860169.71
3,2019-07-01,0.083113,0.086059,0.079773,0.083361,68085029.36,5.44175,5.70838,5.15791,5.48358,1545973.86,,,,,,3.3843,3.9009,2.9317,3.6595,3165712.16,122.96,126.87,113.87,123.16,1398095.39,0.9321,0.95847,0.85866,0.91711,5779390.91
4,2019-07-02,0.083361,0.084038,0.076658,0.080607,68628758.79,5.48358,5.65892,5.12007,5.33362,1586006.97,,,,,,3.6595,3.985,3.2209,3.7407,3650586.06,123.16,123.93,112.79,118.93,1409049.8469,0.91711,1.08538,0.85345,1.00912,5742244.58
5,2019-07-03,0.080607,0.083144,0.079049,0.082272,71681965.03,5.33362,5.62598,5.30498,5.57958,1490688.98,,,,,,3.7407,3.8634,3.5046,3.5048,3640932.64,118.93,123.38,117.19,121.71,1347150.5739,1.00912,1.29538,1.00906,1.22344,5477468.24
6,2019-07-04,0.082272,0.082445,0.078235,0.078236,68658853.08,5.57958,5.76838,5.46959,5.47547,1417919.67,,,,,,3.5048,3.5855,3.2502,3.4706,3703052.18,121.71,127.12,118.65,119.55,1413486.0206,1.22344,1.295,1.14658,1.20835,6115838.59
7,2019-07-05,0.078236,0.078296,0.07568,0.076221,69524297.46,5.47547,5.50002,5.32872,5.35742,1395841.78,,,,,,3.4706,3.7388,3.4635,3.6458,3795665.98,119.55,120.81,116.31,118.29,1321985.1842,1.20835,1.28008,1.18921,1.27979,5776285.3
8,2019-07-06,0.076221,0.08064,0.075953,0.077461,64378856.78,5.35742,5.6,5.2426,5.3004,1274985.61,,,,,,3.6458,3.6554,3.4782,3.4902,3395798.19,118.29,121.63,117.08,118.26,1075135.3776,1.27979,1.28638,1.18413,1.20705,4287344.27
9,2019-07-07,0.077461,0.080035,0.076653,0.079653,55829286.48,5.3004,5.41671,5.24,5.39508,924185.24,,,,,,3.4902,3.5,3.2555,3.2797,2868263.55,118.26,120.34,117.11,119.43,432061.8596,1.20705,1.225,1.13625,1.18509,4965024.64
