,timestamp,DOT/USDT_open,DOT/USDT_high,DOT/USDT_low,DOT/USDT_close,DOT/USDT_volume,XTZ/USDT_open,XTZ/USDT_high,XTZ/USDT_low,XTZ/USDT_close,XTZ/USDT_volume
0,2020-08-22,2.858,4.554,2.762,4.494,1163659.1572,3.38654,3.6124,3.26187,3.57786,1180834.85
1,2020-08-23,4.494,4.509,3.7,3.983,1161714.97,3.57786,3.62176,3.359,3.51695,816795.49
2,2020-08-24,3.983,4.79,3.812,4.569,2422370.35,3.51695,3.80191,3.44341,3.67928,932663.89
3,2020-08-25,4.569,5.762,4.488,5.555,3661357.37,3.67928,3.7029,3.29419,3.43687,965336.23
4,2020-08-26,5.555,6.586,5.111,6.085,2875256.2,3.43687,3.50754,3.29844,3.36697,809197.2
5,2020-08-27,6.085,6.788,5.2,5.635,3014125.58,3.36697,3.41258,3.1006,3.22198,816560.3
6,2020-08-28,5.635,6.354,5.502,6.18,2451012.08,3.22198,3.31101,3.13526,3.26292,548394.28
7,2020-08-29,6.18,6.6,6.02,6.142,2174572.45,3.26292,3.43341,3.21026,3.35426,486910.01
8,2020-08-30,6.142,6.223,5.71,5.891,1963638.22,3.35426,3.43277,3.3262,3.38786,401840.19
9,2020-08-31,5.891,6.459,5.761,6.274,2150248.01,3.38786,3.46587,3.2392,3.2427,410581.56
10,2020-09-01,6.274,6.896,6.126,6.242,1985503.97,3.2427,3.51553,3.1913,3.44266,465558.85
11,2020-09-02,6.242,6.475,5.6,6.134,1648394.89,3.44266,3.47214,2.88749,3.13591,501737.51
12,2020-09-03,6.134,6.328,5.6,5.68,2043834.64,3.13591,3.13742,2.45671,2.55448,567623.49
13,2020-09-04,5.68,5.977,4.5,5.107,2140051.43,2.55448,2.85004,2.40641,2.74233,822074.41
14,2020-09-05,5.107,5.311,3.577,4.143,2647876.23,2.74233,2.8259,2.32364,2.47762,1190112.33
15,2020-09-06,4.143,4.915,3.731,4.775,2341367.15,2.47762,2.62566,2.33847,2.5497,573992.2
16,2020-09-07,4.775,4.831,4.012,4.591,1732140.79,2.5497,2.59004,2.35739,2.55818,482325.02
17,2020-09-08,4.591,4.622,4.111,4.273,1270393.92,2.55818,2.64307,2.40296,2.50063,543181.5
18,2020-09-09,4.273,4.795,4.149,4.701,1291653.15,2.50063,2.59894,2.41353,2.52849,319591.01
19,2020-09-10,4.701,4.891,4.443,4.572,1113412.33,2.52849,2.6606,2.52782,2.57553,400612.4
20,2020-09-11,4.572,4.73,4.324,4.645,975543.05,2.57553,2.62774,2.46722,2.57256,316966.2
