timestamp,open,high,low,close,volume
2021-08-26,18.0,47.9,18.0,41.277,52952.21
2021-08-27,41.277,50.404,40.31,50.064,70642.89
2021-08-28,50.064,51.743,46.161,50.137,33390.16
2021-08-29,50.137,52.416,46.731,47.433,21221.94
2021-08-30,47.433,48.238,41.022,41.435,25939.54
2021-08-31,41.435,44.119,38.325,39.518,32244.24
2021-09-01,39.518,45.568,38.581,42.523,30464.48
2021-09-02,42.523,47.855,41.089,47.642,21082.11
2021-09-03,47.642,51.534,44.741,45.902,28508.17
2021-09-04,45.902,49.738,44.145,47.159,22894.9
2021-09-05,47.159,49.399,45.54,48.166,16468.84
2021-09-06,48.166,50.973,42.907,47.083,15567.96
2021-09-07,47.083,47.16,32.52,37.712,35029.37
2021-09-08,37.712,39.454,33.208,36.972,31621.57
2021-09-09,36.972,44.508,36.267,40.712,45177.91
2021-09-10,40.712,49.604,40.5,49.399,47240.45
2021-09-11,49.399,59.0,48.193,57.066,41567.22
2021-09-12,57.066,64.871,53.777,59.304,51332.78
2021-09-13,59.304,60.763,46.0,53.143,42072.69
2021-09-14,53.143,58.0,49.043,51.577,17811.98
2021-09-15,51.577,58.079,50.307,57.824,18479.31
2021-09-16,57.824,68.168,57.286,67.598,41884.08
2021-09-17,67.598,70.829,60.593,70.031,31769.65
2021-09-18,70.031,75.423,67.274,68.873,25855.74
2021-09-19,68.873,76.155,66.523,70.044,24145.52
2021-09-20,70.044,70.338,55.0,57.347,42601.54
2021-09-21,57.347,66.135,52.61,58.967,42988.1
2021-09-22,58.967,74.587,57.878,74.076,34184.06
2021-09-23,74.076,79.538,73.0,76.439,30873.92
2021-09-24,76.439,78.327,66.809,72.436,32082.06
2021-09-25,72.436,72.525,67.6,68.34,13051.58
2021-09-26,68.34,71.286,61.692,66.852,17870.65
2021-09-27,66.852,72.8,65.498,66.368,17918.18
2021-09-28,66.368,69.316,61.261,61.489,13462.29
2021-09-29,61.489,70.0,61.4,65.5,36615.32
2021-09-30,65.5,68.785,64.452,66.686,20270.16
2021-10-01,66.686,69.439,63.332,67.566,15268.43
2021-10-02,67.566,73.346,65.901,69.307,15000.32
2021-10-03,69.307,71.557,67.7,68.628,11345.08
2021-10-04,68.628,68.636,63.5,65.266,13169.77
2021-10-05,65.266,66.733,62.833,64.635,7977.61
2021-10-06,64.635,65.685,58.446,60.067,15730.45
2021-10-07,60.067,62.215,57.481,61.396,12858.58
2021-10-08,61.396,64.879,59.811,60.444,11958.44
2021-10-09,60.444,61.991,59.809,60.528,7323.23
2021-10-10,60.528,60.854,55.58,56.526,15097.24
2021-10-11,56.526,59.159,53.827,55.267,17579.62
2021-10-12,55.267,55.275,51.097,54.298,20636.35
2021-10-13,54.298,57.024,53.365,55.017,12346.58
2021-10-14,55.017,58.46,55.001,56.087,13950.78
2021-10-15,56.087,57.132,54.519,56.318,14463.68
2021-10-16,56.318,62.013,55.766,57.493,12896.27
2021-10-17,57.493,58.492,53.402,56.08,8955.05
2021-10-18,56.08,56.449,54.33,55.486,6438.88
2021-10-19,55.486,58.03,55.126,56.841,5647.49
2021-10-20,56.841,61.549,56.739,59.587,8806.64
2021-10-21,59.587,64.371,58.45,61.326,15911.44
2021-10-22,61.326,68.685,61.326,65.515,20965.21
2021-10-23,65.515,69.078,64.585,65.4,9249.3
2021-10-24,65.4,67.512,62.0,64.496,8103.19
2021-10-25,64.496,69.83,64.398,69.784,9492.46
2021-10-26,69.784,72.967,67.726,68.664,22176.43
2021-10-27,68.664,69.753,57.272,61.552,72387.49
2021-10-28,61.552,64.863,61.552,64.393,46430.24
2021-10-29,64.393,66.109,63.55,64.758,14849.08
2021-10-30,64.758,64.892,61.0,62.352,8025.53
2021-10-31,62.352,64.43,60.2,64.43,16152.11
2021-11-01,64.43,66.691,62.367,64.978,30682.09
2021-11-02,64.978,67.995,64.281,67.678,12872.64
2021-11-03,67.678,75.952,67.145,75.469,74463.73
2021-11-04,75.469,80.856,73.987,79.067,19417.64
2021-11-05,79.067,80.958,72.226,74.191,10285.36
2021-11-06,74.191,78.657,72.44,78.657,8358.08
2021-11-07,78.657,88.794,78.064,87.605,20639.59
2021-11-08,87.605,96.822,83.685,91.075,20505.78
2021-11-09,91.075,91.423,87.0,88.247,11248.8
2021-11-10,88.247,93.958,78.63,85.339,19880.13
2021-11-11,85.339,89.509,83.797,87.831,11208.44
2021-11-12,87.831,89.695,81.291,84.866,9775.17
2021-11-13,84.866,98.381,84.847,97.23,34888.84
2021-11-14,97.23,99.85,91.739,95.244,18146.49
2021-11-15,95.244,101.646,92.15,93.677,30766.36
2021-11-16,93.677,101.856,83.833,98.072,24923.64
2021-11-17,98.072,111.129,91.899,107.66,27848.0
2021-11-18,107.66,110.244,92.083,100.756,21826.59
2021-11-19,100.756,112.143,95.97,112.143,19546.96
2021-11-20,112.143,132.0,111.612,125.73,24398.16
2021-11-21,125.73,146.45,123.527,128.745,35923.24
2021-11-22,128.745,144.906,125.929,134.863,30172.02
2021-11-23,134.863,137.37,122.0,123.809,17943.12
2021-11-24,123.809,124.543,112.84,115.264,22057.52
2021-11-25,115.264,129.921,114.396,119.119,22095.3
2021-11-26,119.119,119.8,101.666,103.93,34279.76
2021-11-27,103.93,117.921,103.362,113.412,20703.79
2021-11-28,113.412,113.76,100.692,110.495,48859.99
2021-11-29,110.495,120.419,109.222,120.416,15278.31
2021-11-30,120.416,124.65,114.11,120.231,19429.64
2021-12-01,120.231,127.209,117.448,119.629,19497.74
2021-12-02,119.629,119.643,107.086,107.847,16458.2
2021-12-03,107.847,113.069,100.127,108.559,23776.47
2021-12-04,108.559,108.66,76.662,93.067,34430.82
2021-12-05,93.067,94.985,82.61,86.3,22832.24
2021-12-06,86.3,94.837,77.081,93.264,27531.12
2021-12-07,93.264,96.581,88.102,89.592,14701.74
2021-12-08,89.592,93.163,86.0,93.105,25850.96
2021-12-09,93.105,94.508,83.354,85.443,17736.5
2021-12-10,85.443,91.681,80.522,80.709,18679.5
2021-12-11,80.709,86.986,78.777,86.226,11609.79
2021-12-12,86.226,88.901,82.997,88.04,9296.81
2021-12-13,88.04,89.874,75.64,79.041,17932.69
2021-12-14,79.041,87.366,76.548,87.311,18065.8
2021-12-15,87.311,105.614,86.121,101.133,25423.88
2021-12-16,101.133,109.971,98.12,98.394,17589.72
2021-12-17,98.394,115.73,98.236,110.889,21993.33
2021-12-18,110.889,117.495,105.598,116.002,13687.76
2021-12-19,116.002,116.596,106.855,107.435,7808.49
2021-12-20,107.435,116.114,101.074,113.329,16688.32
2021-12-21,113.329,123.917,110.702,123.261,15736.46
2021-12-22,123.261,127.263,115.862,116.591,10052.28
2021-12-23,116.591,125.009,116.42,121.294,11049.28
2021-12-24,121.294,124.454,113.291,114.635,9564.86
2021-12-25,114.635,118.617,112.544,115.02,8522.24
2021-12-26,115.02,117.846,109.719,115.137,6485.57
2021-12-27,115.137,120.856,113.394,113.679,8196.7
2021-12-28,113.679,116.523,104.547,106.977,17092.71
2021-12-29,106.977,110.5,102.302,103.105,13933.64
2021-12-30,103.105,107.293,98.0,101.741,8934.22
2021-12-31,101.741,111.66,100.459,109.494,10305.44
2022-01-01,109.494,114.513,108.636,114.325,4426.07
2022-01-02,114.325,117.4,112.125,113.078,5024.4
2022-01-03,113.078,114.0,106.145,108.075,6329.97
2022-01-04,108.075,109.172,102.98,103.293,6223.11
2022-01-05,103.293,106.522,90.717,97.429,7750.57
2022-01-06,97.429,97.87,91.2,95.169,8857.8
2022-01-07,95.169,95.372,85.384,86.654,18809.67
2022-01-08,86.654,89.401,79.332,83.877,13772.56
2022-01-09,83.877,93.0,82.6,89.365,10251.65
2022-01-10,89.365,90.886,80.422,84.475,16975.44
2022-01-11,84.475,90.889,83.293,89.478,6522.27
2022-01-12,89.478,96.754,88.915,95.874,6827.27
2022-01-13,95.874,97.122,89.414,89.868,4953.63
2022-01-14,89.881,91.82,87.522,90.348,5933.47
2022-01-15,90.348,94.43,89.61,93.087,5886.56
2022-01-16,93.087,94.84,91.793,92.17,8533.72
2022-01-17,92.17,92.438,85.478,86.637,8740.05
2022-01-18,86.637,87.368,83.675,85.988,5621.23
2022-01-19,85.988,87.35,81.246,82.677,6063.6
2022-01-20,82.677,87.734,78.771,79.434,5977.94
2022-01-21,79.434,80.343,64.113,66.002,14469.58
2022-01-22,66.002,67.361,53.127,59.659,21099.67
2022-01-23,59.659,68.0,59.194,64.785,15608.67
2022-01-24,64.785,64.785,55.272,62.973,15741.54
2022-01-25,62.973,70.395,61.763,67.905,11333.9
2022-01-26,67.905,73.31,64.442,65.811,13693.51
2022-01-27,65.811,68.682,61.22,64.511,10579.93
2022-01-28,64.511,67.378,61.853,67.015,11732.61
2022-01-29,67.015,73.37,66.89,71.898,9002.96
2022-01-30,71.898,72.302,66.944,68.013,11177.5
2022-01-31,68.013,70.601,64.316,69.899,14256.19
2022-02-01,69.899,73.779,68.611,73.259,12037.75
2022-02-02,73.259,74.794,67.497,67.803,10155.45
2022-02-03,67.803,68.999,65.083,68.331,10346.15
2022-02-04,68.331,77.802,67.538,77.802,11425.94
2022-02-05,77.802,80.86,75.099,77.075,10219.2
2022-02-06,77.075,79.0,74.239,78.937,6862.34
2022-02-07,78.937,85.245,77.589,83.12,14185.13
2022-02-08,83.12,94.338,81.762,86.283,30779.66
2022-02-09,86.283,91.962,84.513,90.025,16914.62
2022-02-10,90.025,95.0,85.158,91.156,15436.25
2022-02-11,91.156,92.46,80.088,81.724,16832.76
2022-02-12,81.724,84.719,78.862,81.159,16600.85
2022-02-13,81.159,83.211,77.58,77.924,8301.79
2022-02-14,77.924,82.61,76.257,81.872,9956.86
2022-02-15,81.872,93.634,81.518,92.757,13462.98
2022-02-16,92.757,97.171,91.592,95.234,14158.06
2022-02-17,95.234,98.586,86.451,88.321,18676.76
2022-02-18,88.321,89.95,82.486,83.754,20876.73
2022-02-19,83.754,86.382,81.0,85.065,30454.01
2022-02-20,85.065,85.745,76.61,77.154,85929.15
2022-02-21,77.154,82.59,69.498,69.997,144483.43
2022-02-22,69.997,74.91,67.257,74.471,128708.99
2022-02-23,74.471,82.364,73.326,73.382,125155.89
2022-02-24,73.382,81.9,64.436,76.576,257288.79
2022-02-25,76.576,81.897,72.779,80.91,97622.84
2022-02-26,80.91,84.994,78.187,81.732,52444.15
2022-02-27,81.732,82.411,73.174,74.993,60051.15
2022-02-28,74.993,85.793,71.877,84.55,59156.37
2022-03-01,84.55,90.753,83.646,86.81,72363.13
2022-03-02,86.81,89.836,82.377,83.305,69368.85
2022-03-03,83.305,84.238,77.161,78.566,106810.58
2022-03-04,78.566,82.214,75.013,75.689,438913.39
2022-03-05,75.689,78.668,73.329,76.726,246958.65
2022-03-06,76.726,77.105,72.15,72.403,329475.59
2022-03-07,72.403,76.443,70.435,71.774,420350.75
2022-03-08,71.774,76.512,71.278,73.009,402333.74
2022-03-09,73.009,80.337,72.376,77.596,281387.15
2022-03-10,77.596,78.911,71.551,73.95,125032.18
2022-03-11,73.95,76.932,70.819,71.257,827438.89
2022-03-12,71.257,73.636,70.841,70.907,256498.21
2022-03-13,70.907,72.004,67.262,67.991,629504.1
2022-03-14,67.991,71.511,65.583,68.991,785811.83
2022-03-15,68.991,72.185,66.077,69.802,521455.08
2022-03-16,69.802,74.668,68.113,74.098,444466.04
2022-03-17,74.098,81.657,73.212,79.424,259901.12
2022-03-18,79.424,86.92,76.536,85.645,564900.36
2022-03-19,85.645,92.336,85.643,89.55,518891.34
2022-03-20,89.55,89.956,84.372,84.815,714797.17
2022-03-21,84.815,92.311,83.107,86.275,858141.03
2022-03-22,86.275,89.892,83.745,83.904,493000.73
2022-03-23,83.904,87.08,82.282,86.021,1136263.82
2022-03-24,86.021,88.189,83.7,87.503,1087456.2
2022-03-25,87.503,87.732,82.418,83.613,531546.3
2022-03-26,83.613,86.693,82.413,85.891,267362.91
2022-03-27,85.891,89.938,84.444,89.897,295696.36
2022-03-28,89.897,96.144,88.614,89.469,800890.24
2022-03-29,89.469,96.508,89.384,92.755,585687.05
2022-03-30,92.755,100.481,89.608,95.526,312513.07
2022-03-31,95.526,101.88,93.829,97.392,446982.04
2022-04-01,97.392,99.82,90.419,96.792,267103.78
2022-04-02,96.792,103.651,95.775,96.163,254920.45
2022-04-03,96.163,100.089,94.469,98.009,189554.51
2022-04-04,98.009,98.017,90.89,96.074,156190.54
2022-04-05,96.074,97.666,90.609,90.978,136914.78
2022-04-06,90.978,91.039,82.619,82.997,380553.33
2022-04-07,82.997,88.611,81.198,87.635,280123.99
2022-04-08,87.635,90.471,82.753,83.68,274275.02
2022-04-09,83.68,85.5,82.135,84.513,94385.75
2022-04-10,84.513,85.674,80.761,81.049,60761.08
2022-04-11,81.049,81.542,72.75,74.302,302164.01
2022-04-12,74.302,79.445,73.946,76.259,189170.43
2022-04-13,76.259,80.655,75.822,80.111,125311.02
2022-04-14,80.111,81.817,76.234,76.777,115231.85
2022-04-15,76.777,78.543,74.825,77.409,88795.42
2022-04-16,77.409,78.249,76.519,77.759,31990.66
2022-04-17,77.759,78.698,75.123,75.466,46746.0
2022-04-18,75.466,77.928,71.869,77.765,147174.68
2022-04-19,77.765,81.113,76.785,80.289,74290.97
2022-04-20,80.289,81.317,77.488,78.284,90005.99
2022-04-21,78.284,80.21,74.141,75.059,90423.87
2022-04-22,75.059,77.202,73.372,73.978,84955.38
2022-04-23,73.978,74.385,72.473,72.778,40750.37
2022-04-24,72.778,73.519,71.1,71.559,39913.85
2022-04-25,71.559,72.955,67.434,72.84,137204.81
2022-04-26,72.84,73.143,67.561,68.728,109837.3
2022-04-27,68.728,71.923,68.367,69.919,96810.72
2022-04-28,69.919,70.697,66.651,67.283,84183.42
2022-04-29,67.283,68.035,62.26,63.36,90518.67
2022-04-30,63.36,64.604,55.11,56.96,155840.1
2022-05-01,56.96,61.085,56.308,58.755,221482.42
2022-05-02,58.755,62.5,56.796,60.375,265922.7
2022-05-03,60.375,62.575,58.162,59.637,128482.43
2022-05-04,59.637,67.568,59.336,67.171,178632.77
2022-05-05,67.171,69.441,56.71,59.033,370824.03
2022-05-06,59.033,59.385,55.156,56.982,335669.82
2022-05-07,56.982,57.522,53.254,55.037,176458.52
2022-05-08,55.037,55.43,50.658,51.641,340349.48
2022-05-09,51.641,53.017,41.22,41.298,992497.84
2022-05-10,41.298,50.244,40.0,44.502,1850891.56
2022-05-11,44.502,46.212,26.854,31.158,2753295.92
2022-05-12,31.158,33.936,23.55,30.27,2707450.92
2022-05-13,30.27,37.937,29.575,32.241,1089841.55
2022-05-14,32.241,34.258,29.303,33.968,375762.68
2022-05-15,33.968,37.0,31.878,36.549,242664.98
2022-05-16,36.549,36.569,31.484,32.506,283539.73
2022-05-17,32.506,35.74,32.235,34.393,155921.9
2022-05-18,34.393,35.123,29.419,29.59,180809.17
2022-05-19,29.59,31.861,27.521,30.373,305451.36
2022-05-20,30.373,31.913,27.852,28.826,324317.13
2022-05-21,28.826,30.553,28.256,29.877,142658.86
2022-05-22,29.877,32.639,28.972,31.696,162113.81
2022-05-23,31.696,32.923,28.472,29.029,212734.83
2022-05-24,29.029,29.66,26.907,29.084,199059.71
2022-05-25,29.084,29.612,27.117,27.242,159812.71
2022-05-26,27.242,27.986,22.779,23.411,382711.11
2022-05-27,23.411,23.941,21.374,22.521,503378.47
2022-05-28,22.521,25.67,22.17,24.757,345220.11
2022-05-29,24.757,27.0,23.768,26.149,330967.34
2022-05-30,26.149,28.4,25.311,27.703,392400.16
2022-05-31,27.703,29.191,25.51,26.421,412492.87
2022-06-01,26.421,27.053,23.178,23.675,346590.51
2022-06-02,23.675,24.872,22.699,24.652,316815.15
2022-06-03,24.652,24.69,22.535,22.992,281889.1
2022-06-04,22.992,24.636,22.149,24.562,166293.71
2022-06-05,24.562,25.184,23.935,24.17,139450.71
2022-06-06,24.17,27.763,24.034,25.994,252630.94
2022-06-07,25.994,26.172,23.154,24.6,448455.54
2022-06-08,24.6,25.462,23.735,24.486,264222.2
2022-06-09,24.486,25.37,23.728,24.412,170563.56
2022-06-10,24.412,24.86,21.94,22.078,223289.55
2022-06-11,22.078,22.997,19.686,19.893,293181.03
2022-06-12,19.893,20.153,17.213,17.265,519388.68
2022-06-13,17.265,17.483,14.621,16.114,1286597.0
2022-06-14,16.114,17.253,14.661,16.538,961798.6
2022-06-15,16.538,18.488,14.486,18.332,732715.38
2022-06-16,18.332,18.752,15.513,15.794,399132.83
2022-06-17,15.794,16.66,15.432,16.0,262243.56
2022-06-18,16.0,16.297,13.795,14.832,353659.54
2022-06-19,14.832,16.378,13.757,16.163,457986.48
2022-06-20,16.163,17.861,15.333,17.116,378082.05
2022-06-21,17.116,18.474,16.636,16.888,370632.12
2022-06-22,16.888,17.386,15.976,16.079,299243.99
2022-06-23,16.079,18.404,16.04,18.292,178790.23
2022-06-24,18.292,20.952,17.992,20.474,255869.26
2022-06-25,20.474,21.65,19.853,21.363,143053.53
2022-06-26,21.363,22.058,19.61,19.697,152264.08
2022-06-27,19.697,21.37,19.18,19.288,154041.95
2022-06-28,19.288,20.52,18.002,18.096,183238.04
2022-06-29,18.096,18.7,17.195,17.768,176719.02
2022-06-30,17.768,17.806,15.788,16.931,247847.03
2022-07-01,16.931,17.668,15.789,16.114,206888.69
2022-07-02,16.114,16.617,15.956,16.32,98145.1
2022-07-03,16.32,17.0,15.836,16.655,82172.66
2022-07-04,16.655,18.045,16.304,17.893,148165.55
2022-07-05,17.893,18.657,16.669,18.061,178340.5
2022-07-06,18.061,19.489,17.789,19.172,186186.1
2022-07-07,19.172,20.593,18.863,20.177,119395.65
2022-07-08,20.177,21.097,19.421,19.704,163763.23
2022-07-09,19.704,20.274,19.565,19.898,80463.34
2022-07-10,19.898,19.963,18.781,19.167,69781.61
2022-07-11,19.167,19.182,17.326,17.354,128604.48
2022-07-12,17.354,18.071,16.7,16.756,192558.41
2022-07-13,16.756,18.918,16.361,18.82,355154.87
2022-07-14,18.82,19.959,17.774,19.754,255515.49
2022-07-15,19.754,20.281,19.085,19.348,241956.59
2022-07-16,19.348,21.47,18.682,21.257,232522.38
2022-07-17,21.257,22.094,20.566,20.621,206027.14
2022-07-18,20.621,24.331,20.584,23.931,377455.28
2022-07-19,23.931,26.251,23.053,24.739,480802.28
