timestamp,open,high,low,close,volume
2020-08-22,2.858,4.554,2.762,4.494,1163659.1572
2020-08-23,4.494,4.509,3.7,3.983,1161714.97
2020-08-24,3.983,4.79,3.812,4.569,2422370.35
2020-08-25,4.569,5.762,4.488,5.555,3661357.37
2020-08-26,5.555,6.586,5.111,6.085,2875256.2
2020-08-27,6.085,6.788,5.2,5.635,3014125.58
2020-08-28,5.635,6.354,5.502,6.18,2451012.08
2020-08-29,6.18,6.6,6.02,6.142,2174572.45
2020-08-30,6.142,6.223,5.71,5.891,1963638.22
2020-08-31,5.891,6.459,5.761,6.274,2150248.01
2020-09-01,6.274,6.896,6.126,6.242,1985503.97
2020-09-02,6.242,6.475,5.6,6.134,1648394.89
2020-09-03,6.134,6.328,5.6,5.68,2043834.64
2020-09-04,5.68,5.977,4.5,5.107,2140051.43
2020-09-05,5.107,5.311,3.577,4.143,2647876.23
2020-09-06,4.143,4.915,3.731,4.775,2341367.15
2020-09-07,4.775,4.831,4.012,4.591,1732140.79
2020-09-08,4.591,4.622,4.111,4.273,1270393.92
2020-09-09,4.273,4.795,4.149,4.701,1291653.15
2020-09-10,4.701,4.891,4.443,4.572,1113412.33
2020-09-11,4.572,4.73,4.324,4.645,975543.05
2020-09-12,4.645,5.289,4.5,5.137,1216136.21
2020-09-13,5.137,5.477,4.788,5.31,1478875.89
2020-09-14,5.31,5.576,5.094,5.364,1232383.94
2020-09-15,5.364,5.45,5.051,5.055,933079.17
2020-09-16,5.055,5.283,4.978,5.076,844084.89
2020-09-17,5.076,5.424,5.047,5.337,903627.51
2020-09-18,5.337,5.451,5.101,5.259,776912.75
2020-09-19,5.259,5.261,4.813,4.926,708845.75
2020-09-20,4.926,4.971,4.41,4.669,901989.47
2020-09-21,4.669,4.697,3.921,4.071,1347655.28
2020-09-22,4.071,4.21,3.901,4.168,780731.93
2020-09-23,4.168,4.322,3.942,4.008,914787.18
2020-09-24,4.008,4.468,3.96,4.382,885159.33
2020-09-25,4.382,4.529,4.245,4.418,781349.0
2020-09-26,4.418,4.47,4.231,4.334,674152.26
2020-09-27,4.334,4.36,4.118,4.3,712986.21
2020-09-28,4.3,4.59,4.249,4.393,825585.54
2020-09-29,4.393,4.607,4.352,4.493,803606.52
2020-09-30,4.493,4.502,4.243,4.347,551556.62
2020-10-01,4.347,4.585,4.251,4.346,463165.88
2020-10-02,4.346,4.361,3.902,4.117,526364.2
2020-10-03,4.117,4.127,4.026,4.061,368816.78
2020-10-04,4.061,4.199,4.016,4.18,363402.83
2020-10-05,4.18,4.247,4.107,4.159,350621.58
2020-10-06,4.159,4.181,3.611,3.749,554446.82
2020-10-07,3.749,3.883,3.601,3.853,570783.35
2020-10-08,3.853,4.161,3.641,4.111,521753.06
2020-10-09,4.111,4.35,4.008,4.251,469985.42
2020-10-10,4.251,4.485,4.232,4.26,444735.44
2020-10-11,4.26,4.332,4.17,4.246,366143.63
2020-10-12,4.246,4.449,4.201,4.308,473564.8
2020-10-13,4.308,4.352,4.143,4.248,535573.98
2020-10-14,4.248,4.378,4.084,4.184,555233.11
2020-10-15,4.184,4.19,4.019,4.099,544047.89
2020-10-16,4.099,4.159,3.81,3.916,606446.36
2020-10-17,3.916,3.982,3.859,3.965,462574.01
2020-10-18,3.965,4.126,3.953,4.107,471922.28
2020-10-19,4.107,4.122,3.951,3.985,440403.42
2020-10-20,3.985,4.147,3.862,3.902,564237.81
2020-10-21,3.902,4.248,3.89,4.134,569618.64
2020-10-22,4.134,4.338,4.122,4.265,562041.5
2020-10-23,4.265,4.482,4.194,4.267,623434.98
2020-10-24,4.267,4.429,4.237,4.35,596914.78
2020-10-25,4.35,4.444,4.261,4.335,513355.81
2020-10-26,4.335,4.746,4.289,4.703,849698.56
2020-10-27,4.703,4.939,4.642,4.673,927713.41
2020-10-28,4.673,4.777,4.253,4.362,831823.44
2020-10-29,4.362,4.411,3.846,4.064,943236.95
2020-10-30,4.064,4.161,3.92,4.082,1037144.02
2020-10-31,4.082,4.279,4.067,4.18,408471.36
2020-11-01,4.18,4.23,4.107,4.224,336617.86
2020-11-02,4.224,4.266,3.968,4.032,667446.23
2020-11-03,4.032,4.073,3.893,4.027,549136.17
2020-11-04,4.027,4.152,3.9,4.093,615967.81
2020-11-05,4.093,4.304,4.011,4.224,550273.82
2020-11-06,4.224,4.648,4.205,4.574,884823.07
2020-11-07,4.574,4.85,4.082,4.232,2191701.69
2020-11-08,4.232,4.428,4.131,4.373,782532.51
2020-11-09,4.373,4.465,4.24,4.347,1026419.42
2020-11-10,4.347,4.503,4.302,4.417,699953.16
2020-11-11,4.417,4.626,4.417,4.447,671620.27
2020-11-12,4.447,4.472,4.311,4.404,552166.48
2020-11-13,4.404,4.59,4.371,4.542,599905.33
2020-11-14,4.542,4.554,4.357,4.461,522195.46
2020-11-15,4.461,4.504,4.307,4.373,632912.48
2020-11-16,4.373,4.599,4.336,4.494,656452.79
2020-11-17,4.494,4.93,4.487,4.854,1219366.2
2020-11-18,4.854,4.939,4.517,4.682,1441843.2
2020-11-19,4.682,4.852,4.544,4.758,918481.49
2020-11-20,4.758,5.473,4.743,5.231,3328034.09
2020-11-21,5.231,5.814,5.132,5.781,3308751.99
2020-11-22,5.781,5.841,5.249,5.516,7952484.48
2020-11-23,5.516,5.956,5.419,5.911,3245802.55
2020-11-24,5.911,6.08,5.607,5.728,3734030.46
2020-11-25,5.728,5.826,5.146,5.309,2907732.23
2020-11-26,5.309,5.374,4.445,4.806,4842714.19
2020-11-27,4.806,5.073,4.516,4.817,1838432.1
2020-11-28,4.817,4.951,4.668,4.888,1093294.04
2020-11-29,4.888,5.199,4.802,5.19,1686004.64
2020-11-30,5.19,5.65,5.14,5.378,2803924.82
2020-12-01,5.378,5.539,4.974,5.083,2770283.98
2020-12-02,5.083,5.544,5.005,5.473,1065089.6
2020-12-03,5.473,5.564,5.321,5.403,886231.11
2020-12-04,5.403,5.436,4.92,5.007,883123.16
2020-12-05,5.007,5.196,4.876,5.186,540879.25
2020-12-06,5.186,5.204,5.003,5.128,401959.31
2020-12-07,5.128,5.155,5.011,5.056,209088.58
2020-12-08,5.056,5.069,4.701,4.735,469737.67
2020-12-09,4.735,4.937,4.618,4.871,595469.9
2020-12-10,4.871,4.916,4.751,4.798,238947.35
2020-12-11,4.798,4.816,4.538,4.61,218343.27
2020-12-12,4.61,4.798,4.609,4.734,80220.95
2020-12-13,4.734,4.997,4.727,4.896,82432.55
2020-12-14,4.896,5.005,4.832,4.898,108657.33
2020-12-15,4.898,5.29,4.851,5.245,161435.24
2020-12-16,5.245,5.374,5.118,5.368,185378.47
2020-12-17,5.368,5.734,5.272,5.345,446751.79
2020-12-18,5.345,5.51,5.252,5.36,290219.21
2020-12-19,5.36,5.578,5.282,5.34,210383.55
2020-12-20,5.34,5.436,5.054,5.188,359830.72
2020-12-21,5.188,5.448,4.702,4.873,576536.74
2020-12-22,4.873,5.18,4.801,5.161,517652.95
2020-12-23,5.161,5.185,4.587,4.727,632946.85
2020-12-24,4.727,5.199,4.632,5.12,566885.08
2020-12-25,5.12,5.284,5.042,5.211,541783.33
2020-12-26,5.211,5.293,5.08,5.191,540698.73
2020-12-27,5.191,5.411,4.948,5.145,908238.49
2020-12-28,5.145,6.694,5.115,6.602,1550208.02
2020-12-29,6.602,7.675,6.172,7.531,1702734.26
2020-12-30,7.531,7.671,7.052,7.234,455513.26
2020-12-31,7.234,9.479,7.154,9.265,580579.4
2021-01-01,9.265,9.44,8.085,8.28,577858.32
2021-01-02,8.28,9.813,7.9,9.211,870834.01
2021-01-03,9.211,10.489,8.835,10.125,883672.33
2021-01-04,10.125,10.521,8.727,9.499,948213.48
2021-01-05,9.499,10.038,9.022,9.71,749327.01
2021-01-06,9.71,10.399,9.471,10.076,477264.46
2021-01-07,10.076,10.654,9.425,9.633,558796.81
2021-01-08,9.633,9.83,8.808,9.31,531896.07
2021-01-09,9.31,9.813,9.048,9.744,337936.84
2021-01-10,9.744,10.009,8.691,9.3,415134.78
2021-01-11,9.3,9.314,6.842,8.284,1342858.57
2021-01-12,8.284,8.701,7.939,8.305,574883.72
2021-01-13,8.305,11.372,7.981,10.952,727426.57
2021-01-14,10.952,14.677,10.886,14.628,713310.33
2021-01-15,14.628,14.988,11.783,13.188,986959.95
2021-01-16,13.188,19.386,13.176,17.989,970415.63
2021-01-17,17.989,18.278,16.0,17.083,993779.12
2021-01-18,17.083,18.199,15.777,16.553,416891.08
2021-01-19,16.553,17.479,15.932,16.406,373457.45
2021-01-20,16.406,18.213,14.766,17.962,563276.31
2021-01-21,17.962,18.108,15.002,15.973,618306.63
2021-01-22,15.973,17.989,14.76,17.158,559679.72
2021-01-23,17.158,18.78,16.819,18.715,316704.79
