timestamp,open,high,low,close,volume
2025-07-17,0.06,1.992,0.06,1.7002,4530487.26
2025-07-18,1.7002,1.7493,1.3136,1.3557,30374004.83
2025-07-19,1.3557,1.356,1.1588,1.2275,24093317.38
2025-07-20,1.2275,1.297,1.2039,1.2573,31325622.06
2025-07-21,1.2573,1.3329,1.2358,1.2639,30786681.67
2025-07-22,1.2639,1.2994,1.1958,1.2538,42819198.79
2025-07-23,1.2538,1.3846,1.22,1.2728,60033110.59
2025-07-24,1.2728,1.5978,1.2712,1.4606,82497651.19
2025-07-25,1.4606,1.615,1.1715,1.272,85643174.28
2025-07-26,1.272,1.273,1.2247,1.2627,17880667.03
