timestamp,open,high,low,close,volume
2019-06-14,1.614,1.8384,1.493,1.633,911109.8
2019-06-15,1.633,1.8068,1.5988,1.7163,1413075.99
2019-06-16,1.7163,1.7863,1.5862,1.6714,1586851.54
2019-06-17,1.6714,2.0744,1.643,1.9555,1515092.54
2019-06-18,1.9555,2.0308,1.7737,1.8084,1489256.06
2019-06-19,1.8084,1.9011,1.7931,1.8504,1473836.25
2019-06-20,1.7114,1.7724,1.7043,1.7708,461403.63
2019-06-21,1.7708,1.8038,1.6229,1.6973,1521991.99
2019-06-22,1.6973,1.9201,1.6799,1.8508,1505147.87
2019-06-23,1.8508,1.8992,1.7771,1.8186,1472689.6
2019-06-24,1.8186,1.8752,1.8029,1.8683,1506811.92
2019-06-25,1.8683,2.4262,1.8572,2.1833,1432497.26
2019-06-26,2.1833,2.4505,2.0307,2.2819,1402522.09
2019-06-27,2.2819,2.5415,2.1181,2.2955,2871122.93
2019-06-28,2.2955,3.0855,2.2093,3.0155,3518303.39
2019-06-29,3.0155,5.9608,2.9389,3.7073,3786641.22
2019-06-30,3.7073,4.2826,3.2647,3.3843,3563893.11
2019-07-01,3.3843,3.9009,2.9317,3.6595,3165712.16
2019-07-02,3.6595,3.985,3.2209,3.7407,3650586.06
2019-07-03,3.7407,3.8634,3.5046,3.5048,3640932.64
2019-07-04,3.5048,3.5855,3.2502,3.4706,3703052.18
2019-07-05,3.4706,3.7388,3.4635,3.6458,3795665.98
2019-07-06,3.6458,3.6554,3.4782,3.4902,3395798.19
2019-07-07,3.4902,3.5,3.2555,3.2797,2868263.55
2019-07-08,3.2797,3.5544,3.2591,3.3344,3458783.01
2019-07-09,3.3344,3.374,2.9513,3.0587,3713549.22
2019-07-10,3.0587,3.2502,2.85,3.107,3708302.46
2019-07-11,3.107,3.1493,2.715,2.7823,3757635.13
2019-07-12,2.7823,3.3154,2.608,3.1764,3758499.84
2019-07-13,3.1765,3.3104,3.0586,3.1664,3783422.17
2019-07-14,3.166,3.2435,2.7573,2.778,3642925.74
2019-07-15,2.7785,2.8503,2.5863,2.6998,3579017.41
2019-07-16,2.6993,2.7756,2.1559,2.1838,3561459.07
2019-07-17,2.1832,2.5818,2.0498,2.3928,3775860.0
2019-07-18,2.3916,2.8134,2.3475,2.6726,3786736.14
2019-07-19,2.6721,2.7583,2.5,2.6004,3676816.74
2019-07-20,2.6041,2.7229,2.5871,2.6392,3644335.68
2019-07-21,2.6391,2.6678,2.464,2.5351,3620097.39
2019-07-22,2.5351,2.5846,2.3754,2.4038,3547343.89
2019-07-23,2.4041,2.4999,2.2461,2.3546,3868370.54
2019-07-24,2.355,2.4998,2.2741,2.4008,3923248.3
2019-07-25,2.4007,2.511,2.3646,2.3688,3935884.32
2019-07-26,2.36,2.4193,2.3204,2.3949,3864317.34
2019-07-27,2.3952,2.4565,2.2215,2.2536,3753301.39
2019-07-28,2.2522,2.2741,2.1101,2.2174,3193777.01
2019-07-29,2.2179,2.2471,2.1144,2.1297,3878139.12
2019-07-30,2.1306,2.1841,1.9788,2.0689,3861291.58
2019-07-31,2.0689,2.233,2.062,2.2139,3989418.22
2019-08-01,2.2139,2.2315,2.109,2.1619,3398029.56
2019-08-02,2.1619,2.4848,2.1367,2.4285,3873867.17
2019-08-03,2.4285,2.7297,2.3568,2.4181,3649599.61
2019-08-04,2.4181,2.5944,2.3836,2.5075,2526602.84
