timestamp,open,high,low,close,volume
2024-03-14,97.24,98.24,89.6,94.08,63296.9618
2024-03-15,94.08,95.38,83.36,89.66,74233.4099
2024-03-16,89.66,90.74,82.25,84.14,54973.7616
2024-03-17,84.14,86.79,80.71,85.9,48128.5786
2024-03-18,85.9,88.02,80.77,86.77,64373.2912
2024-03-19,86.77,87.78,77.17,78.46,125611.7069
2024-03-20,78.46,85.29,76.98,84.65,85569.37
2024-03-21,84.65,87.0,83.57,85.75,62296.2657
2024-03-22,85.75,86.2,80.59,83.4,65671.1397
2024-03-23,83.4,87.5,82.84,85.25,76212.4153
2024-03-24,85.25,90.71,85.24,89.65,100277.6844
2024-03-25,89.65,92.06,88.53,90.59,85191.6964
2024-03-26,90.59,97.07,87.55,95.78,129552.8013
2024-03-27,95.78,98.96,92.33,93.55,129580.0757
2024-03-28,93.55,96.59,93.34,94.11,81460.3088
2024-03-29,94.11,110.38,92.79,109.06,217688.3876
2024-03-30,109.06,109.25,101.12,102.84,88295.0894
2024-03-31,102.84,106.69,101.4,105.01,74532.2573
2024-04-01,105.01,112.8,97.26,99.22,172689.0455
2024-04-02,99.22,108.97,93.16,106.75,204725.2206
2024-04-03,106.75,109.83,96.55,98.32,133625.5676
2024-04-04,98.32,104.3,96.23,98.39,124544.3672
2024-04-05,98.39,100.25,95.07,97.83,90061.8058
2024-04-06,97.83,102.47,97.17,101.59,59122.0886
2024-04-07,101.59,105.95,100.17,101.2,69099.9506
2024-04-08,101.2,106.0,99.6,103.27,74288.5493
2024-04-09,103.27,103.45,96.47,97.55,66503.5199
2024-04-10,97.55,98.29,93.52,96.7,65576.4999
2024-04-11,96.7,99.96,94.87,98.78,58848.1766
2024-04-12,98.78,99.55,79.0,86.09,115938.959
2024-04-13,86.09,86.63,70.55,77.36,138030.5159
2024-04-14,77.36,80.43,73.74,79.71,86063.0109
2024-04-15,79.71,82.83,75.62,78.09,131031.5132
2024-04-16,78.09,80.43,75.33,79.93,72269.0331
2024-04-17,79.93,80.82,76.27,80.18,62275.8321
2024-04-18,80.18,82.52,78.64,80.76,78521.5401
2024-04-19,80.76,82.2,75.78,80.87,72101.3616
2024-04-20,80.87,85.99,80.27,85.05,42825.8769
2024-04-21,85.05,85.68,82.75,84.16,36061.5619
2024-04-22,84.16,86.49,83.96,85.39,56713.4381
2024-04-23,85.39,86.36,84.0,85.02,43231.0091
2024-04-24,85.02,87.72,82.34,83.25,90621.4491
2024-04-25,83.25,85.06,81.83,83.77,64530.0768
2024-04-26,83.77,88.55,83.09,88.08,51178.8747
2024-04-27,88.08,88.46,83.29,83.87,16768.7248
2024-04-28,83.87,85.42,83.58,83.97,12585.1622
2024-04-29,83.97,85.55,81.74,83.51,33509.2692
2024-04-30,83.51,84.54,77.25,79.49,41529.3295
2024-05-01,79.49,80.89,74.61,80.16,49314.1502
2024-05-02,80.16,81.23,78.66,80.02,28041.3061
2024-05-03,80.02,82.6,79.34,81.85,17509.2394
2024-05-04,81.85,83.01,81.57,81.65,10903.1304
2024-05-05,81.65,81.77,80.4,81.32,10700.5825
2024-05-06,81.32,84.19,80.04,80.79,37763.4692
2024-05-07,80.79,82.6,79.8,80.83,34057.8236
2024-05-08,80.83,82.33,79.32,81.7,31245.6412
2024-05-09,81.7,83.15,80.72,83.06,23962.4684
2024-05-10,83.06,83.48,79.58,80.23,12904.8929
2024-05-11,80.23,82.28,80.13,81.38,9202.9669
2024-05-12,81.38,82.17,80.88,81.42,12027.5855
2024-05-13,81.42,82.55,78.95,80.63,19324.3266
2024-05-14,80.63,81.64,78.57,78.78,21246.7721
2024-05-15,78.78,82.84,78.23,82.45,23697.2987
2024-05-16,82.45,83.24,81.38,82.43,16136.8468
2024-05-17,82.43,84.21,81.93,84.15,16018.0485
2024-05-18,84.15,84.79,83.43,83.85,11999.298
2024-05-19,83.85,84.38,81.79,82.4,9937.9547
2024-05-20,82.4,89.12,82.4,88.65,28453.5188
2024-05-21,88.65,89.51,87.0,88.26,42741.0681
2024-05-22,88.26,88.47,84.88,85.77,25123.9662
2024-05-23,85.77,87.93,80.55,85.47,45825.543
