timestamp,open,high,low,close,volume
2019-01-01,29.89,31.74,29.63,31.47,811932.0242
2019-01-02,31.47,33.25,31.21,32.69,766820.2046
2019-01-03,32.69,32.78,30.73,31.37,767845.7226
2019-01-04,31.37,32.55,30.75,31.78,819764.3979
2019-01-05,31.78,36.0,31.76,34.34,954380.4461
2019-01-06,34.34,39.53,34.07,38.34,960051.0036
2019-01-07,38.34,39.01,36.84,37.26,955597.132
2019-01-08,37.26,40.67,37.23,38.72,1047409.4429
2019-01-09,38.72,39.68,38.0,38.14,894139.9997
2019-01-10,38.14,38.75,31.62,32.82,1000096.1581
2019-01-11,32.82,33.2,30.86,31.41,839535.5312
2019-01-12,31.41,32.07,31.14,31.65,679913.5692
2019-01-13,31.65,32.61,29.2,29.58,751936.9959
2019-01-14,29.58,32.46,29.46,31.6,664316.8663
2019-01-15,31.6,32.16,30.11,30.77,645124.3583
2019-01-16,30.77,31.79,30.5,31.24,1447335.7419
2019-01-17,31.24,31.5,29.9,31.29,1831434.925
2019-01-18,31.29,31.49,30.35,30.75,1462644.7257
2019-01-19,30.75,32.85,30.69,32.13,976808.3279
2019-01-20,32.13,33.02,30.27,30.58,1030476.0445
2019-01-21,30.58,31.17,30.38,30.9,911496.9415
2019-01-22,30.9,31.97,29.61,31.52,1188688.2135
2019-01-23,31.52,32.16,31.25,31.69,1694219.0232
2019-01-24,31.69,33.02,31.06,32.48,1264385.4852
2019-01-25,32.48,33.0,31.93,32.58,867011.0632
2019-01-26,32.58,33.91,32.57,32.9,852267.4592
2019-01-27,32.9,33.17,31.59,32.23,859545.4854
2019-01-28,32.23,32.51,30.03,30.93,873502.6824
2019-01-29,30.93,31.22,30.03,30.86,881733.8452
2019-01-30,30.86,31.98,30.51,31.72,867167.5866
2019-01-31,31.72,32.31,31.15,31.36,797707.7175
2019-02-01,31.36,33.57,30.81,32.6,806647.9185
2019-02-02,32.6,34.92,32.52,34.57,792611.2659
2019-02-03,34.57,34.87,32.91,33.41,813972.7989
