timestamp,open,high,low,close,volume
2024-03-14,1.0419,1.0826,0.93,0.9877,447103.41
2024-03-15,0.9877,1.0,0.8542,0.8864,404435.83
2024-03-16,0.8864,0.8968,0.809,0.8204,306463.07
2024-03-17,0.8204,0.877,0.802,0.8676,141402.76
2024-03-18,0.8676,0.8676,0.8138,0.8368,112651.73
2024-03-19,0.8368,0.8387,0.7684,0.7924,183613.85
2024-03-20,0.7924,0.8462,0.752,0.8458,94854.07
2024-03-21,0.8458,0.8618,0.8166,0.8305,123760.84
2024-03-22,0.8305,0.8471,0.777,0.7882,69589.04
2024-03-23,0.7882,0.8345,0.7847,0.8024,70436.22
2024-03-24,0.8024,0.8476,0.8021,0.8372,50330.64
2024-03-25,0.8372,0.8725,0.8226,0.86,397195.31
2024-03-26,0.86,0.9385,0.8586,0.935,261463.31
2024-03-27,0.935,1.4739,0.9324,1.2551,1192287.57
2024-03-28,1.2551,1.2551,1.16,1.2076,127886.96
2024-03-29,1.2076,1.2076,1.1472,1.1703,67450.34
2024-03-30,1.1703,1.3474,1.169,1.25,118377.12
2024-03-31,1.25,1.3555,1.25,1.3182,98338.39
2024-04-01,1.3182,1.32,1.1792,1.2538,118797.0
2024-04-02,1.2538,1.3027,1.16,1.27,201152.52
2024-04-03,1.27,1.3744,1.2003,1.2259,92375.2
2024-04-04,1.2259,1.4209,1.2259,1.3845,139714.59
2024-04-05,1.3845,1.4373,1.2888,1.3452,203869.27
2024-04-06,1.3452,1.3585,1.281,1.3469,68182.85
2024-04-07,1.3469,1.4223,1.3469,1.4191,92715.65
2024-04-08,1.4191,1.55,1.4181,1.4401,150049.89
2024-04-09,1.4401,1.4613,1.3333,1.366,143315.27
2024-04-10,1.366,1.3664,1.2656,1.3317,53184.79
2024-04-11,1.3317,1.3317,1.2666,1.2769,47508.64
2024-04-12,1.2769,1.3261,1.0525,1.1549,100629.03
2024-04-13,1.1549,1.2164,1.0119,1.0907,293091.98
2024-04-14,1.0907,1.1697,1.0355,1.1697,185609.59
2024-04-15,1.1697,1.1993,1.0885,1.1255,64753.02
2024-04-16,1.1255,1.1726,1.0721,1.1259,46954.11
2024-04-17,1.1259,1.1817,1.1,1.1461,40878.77
2024-04-18,1.1461,1.1798,1.1,1.1663,29029.32
2024-04-19,1.1663,1.17,1.08,1.1438,97044.07
2024-04-20,1.1438,1.204,1.132,1.1891,70938.26
2024-04-21,1.1891,1.2461,1.1716,1.1952,40432.58
2024-04-22,1.1952,1.2448,1.187,1.2292,56715.31
2024-04-23,1.2292,1.2684,1.1647,1.1647,27915.46
2024-04-24,1.1647,1.173,1.0947,1.104,47071.58
2024-04-25,1.104,1.1495,1.0915,1.1261,93104.86
2024-04-26,1.1261,1.1261,1.0797,1.0963,65518.91
2024-04-27,1.0963,1.1178,1.0563,1.0943,61314.33
2024-04-28,1.0943,1.1169,1.0704,1.0787,51367.76
2024-04-29,1.0787,1.085,1.0141,1.0385,48157.9
