timestamp,open,high,low,close,volume
2025-02-19,3.5,7.707,3.5,7.568,24117.84
2025-02-20,7.568,8.547,7.234,8.004,23334.19
2025-02-21,8.004,8.06,7.281,7.511,27082.7
2025-02-22,7.511,8.261,7.136,8.254,39591.14
2025-02-23,8.254,9.241,8.059,8.457,74523.08
2025-02-24,8.457,8.644,7.797,7.985,48455.66
2025-02-25,7.985,8.532,7.409,7.746,63619.13
2025-02-26,7.746,7.857,7.022,7.095,74383.26
2025-02-27,7.095,7.722,6.986,7.402,54484.1
2025-02-28,7.402,7.7,7.053,7.512,37208.12
2025-03-01,7.512,7.689,7.317,7.567,18249.77
2025-03-02,7.567,8.205,7.156,7.627,30675.85
2025-03-03,7.627,7.912,7.0,7.14,29686.11
2025-03-04,7.14,7.295,6.549,7.168,37201.1
2025-03-05,7.168,7.331,6.798,7.078,36320.55
2025-03-06,7.078,7.388,6.816,6.821,24523.89
2025-03-07,6.821,6.835,6.31,6.546,53763.62
2025-03-08,6.546,6.768,6.418,6.526,17004.19
2025-03-09,6.526,6.741,5.961,6.175,23154.0
2025-03-10,6.175,6.371,5.859,6.287,36721.79
2025-03-11,6.287,6.462,6.172,6.312,30356.6
2025-03-12,6.312,6.649,6.239,6.524,51877.68
2025-03-13,6.524,6.564,6.288,6.31,42975.06
2025-03-14,6.31,6.367,6.156,6.259,63395.34
2025-03-15,6.259,6.748,6.24,6.624,149060.09
2025-03-16,6.624,6.871,6.516,6.759,252697.81
2025-03-17,6.759,7.063,6.7,6.999,248427.27
2025-03-18,6.999,7.109,6.805,7.031,264184.91
2025-03-19,7.031,7.09,6.52,6.912,196304.32
2025-03-20,6.912,7.067,6.57,6.615,247433.58
2025-03-21,6.615,6.667,6.182,6.191,64332.31
2025-03-22,6.191,6.461,6.124,6.278,87308.54
2025-03-23,6.278,6.829,6.244,6.451,99684.62
2025-03-24,6.451,7.079,6.323,6.848,155249.57
2025-03-25,6.848,6.865,6.625,6.834,61388.83
2025-03-26,6.834,6.861,6.431,6.536,63627.03
2025-03-27,6.536,6.678,6.448,6.487,14377.64
2025-03-28,6.487,6.501,6.222,6.317,43245.03
2025-03-29,6.317,6.341,6.155,6.207,43182.46
2025-03-30,6.207,6.411,6.164,6.256,141355.84
2025-03-31,6.256,6.353,6.112,6.217,96255.55
2025-04-01,6.217,6.396,6.215,6.333,215826.51
2025-04-02,6.333,6.538,6.119,6.281,239920.37
2025-04-03,6.281,6.453,6.225,6.423,234205.08
2025-04-04,6.423,6.456,6.251,6.282,31355.66
2025-04-05,6.282,6.323,6.19,6.286,26110.31
2025-04-06,6.286,6.3,5.65,5.744,93611.58
2025-04-07,5.744,6.504,5.716,6.283,114006.96
2025-04-08,6.283,6.449,6.125,6.213,132733.93
2025-04-09,6.213,6.856,6.09,6.798,145584.26
2025-04-10,6.798,6.825,6.253,6.417,166731.46
2025-04-11,6.417,6.49,6.35,6.399,149021.42
2025-04-12,6.399,6.464,6.232,6.26,136105.46
2025-04-13,6.26,6.35,0.38,1.008,17823737.02
2025-04-14,1.008,1.112,0.4657,0.5997,23854585.09
2025-04-15,0.5997,0.998,0.5581,0.7991,23630141.37
2025-04-16,0.7991,0.8245,0.6874,0.7081,7261399.81
2025-04-17,0.7081,0.7178,0.6167,0.652,50648111.41
2025-04-18,0.652,0.7165,0.6164,0.635,44373564.05
2025-04-19,0.635,0.6488,0.58,0.6031,49931258.29
2025-04-20,0.6031,0.6132,0.5381,0.545,70263639.87
2025-04-21,0.545,0.6064,0.4873,0.5134,149487287.15
2025-04-22,0.5134,0.5559,0.504,0.5487,79540212.26
2025-04-23,0.5487,0.5831,0.5272,0.5346,70235809.17
2025-04-24,0.5346,0.5347,0.5051,0.5217,39623563.98
2025-04-25,0.5217,0.543,0.49,0.5154,52802070.01
2025-04-26,0.5154,0.5257,0.5065,0.5204,38613467.26
2025-04-27,0.5204,0.5859,0.494,0.5449,75976019.98
2025-04-28,0.5449,0.554,0.5115,0.532,52530135.28
2025-04-29,0.532,0.541,0.4543,0.493,50545459.26
2025-04-30,0.493,0.5062,0.463,0.4863,51368585.52
2025-05-01,0.4863,0.4933,0.4331,0.4515,45811230.97
2025-05-02,0.4515,0.4584,0.4111,0.4211,61240423.28
2025-05-03,0.4211,0.4445,0.4084,0.4232,50724699.9
2025-05-04,0.4232,0.4248,0.3829,0.3904,40346372.45
2025-05-05,0.3904,0.4095,0.3693,0.3953,63085212.0
2025-05-06,0.3953,0.422,0.375,0.3899,76654914.13
2025-05-07,0.3899,0.3947,0.3515,0.3591,49110731.77
2025-05-08,0.3591,0.3771,0.357,0.3736,56430819.19
2025-05-09,0.3736,0.3949,0.3607,0.383,64569867.26
2025-05-10,0.383,0.5174,0.3721,0.4707,176758933.64
2025-05-11,0.4707,0.4708,0.4133,0.4212,80584157.58
2025-05-12,0.4212,0.4693,0.4057,0.4276,81415281.51
2025-05-13,0.4276,0.4484,0.4093,0.4442,43439723.32
2025-05-14,0.4442,0.4636,0.4175,0.4217,47504305.13
2025-05-15,0.4217,0.4298,0.3834,0.3951,44781562.87
2025-05-16,0.3951,0.4308,0.3715,0.3847,40062805.07
2025-05-17,0.3847,0.3865,0.3641,0.3746,29030213.9
2025-05-18,0.3746,0.3977,0.371,0.3924,38517206.73
2025-05-19,0.3924,0.3938,0.3691,0.3897,26531287.95
2025-05-20,0.3897,0.394,0.3733,0.3859,27795493.8
2025-05-21,0.3859,0.509,0.3798,0.4119,191382720.22
2025-05-22,0.4119,0.4232,0.4054,0.4224,49281325.96
2025-05-23,0.4224,0.4401,0.3863,0.3894,62407392.07
2025-05-24,0.3894,0.4155,0.3885,0.4033,29926323.29
2025-05-25,0.4033,0.4148,0.3831,0.4023,30800395.12
2025-05-26,0.4023,0.4044,0.3862,0.3896,20300278.16
2025-05-27,0.3896,0.3959,0.3723,0.3901,28138856.26
2025-05-28,0.3901,0.4017,0.3781,0.389,25578353.65
2025-05-29,0.389,0.3969,0.3718,0.3737,27395084.99
2025-05-30,0.3737,0.377,0.2914,0.2989,93890841.83
2025-05-31,0.2989,0.3377,0.2982,0.3103,75426560.95
2025-06-01,0.3103,0.3236,0.3015,0.3187,28225209.57
2025-06-02,0.3187,0.3301,0.3068,0.3297,24309976.11
