timestamp,open,high,low,close,volume
2020-07-08,0.76,0.8339,0.76,0.7962,183638.88
2020-07-09,0.7962,0.8794,0.7596,0.8503,185128.66
2020-07-10,0.8503,0.9383,0.8378,0.9128,128090.7
2020-07-11,0.9128,0.9285,0.8494,0.9211,99841.96
2020-07-12,0.9211,1.1294,0.9051,1.0186,160749.73
2020-07-13,1.0186,1.2844,1.007,1.174,246065.98
2020-07-14,1.174,1.2425,1.1201,1.1493,106633.23
2020-07-15,1.1493,1.4115,1.1393,1.2741,184030.5
2020-07-16,1.2741,1.3782,0.8517,0.8557,212791.82
2020-07-17,0.8557,1.0495,0.8001,0.9817,268121.73
2020-07-18,0.9817,1.0004,0.9317,0.9711,124917.04
2020-07-19,0.9711,0.9719,0.8993,0.9249,122745.71
2020-07-20,0.9249,0.9265,0.8502,0.8694,146915.88
2020-07-21,0.8694,1.002,0.8596,0.9715,154564.58
2020-07-22,0.9715,1.1045,0.9693,1.0394,175899.62
2020-07-23,1.0394,1.0983,0.9962,1.0572,121153.54
2020-07-24,1.0572,1.0572,0.9687,0.9954,92781.53
2020-07-25,0.9954,1.4401,0.9947,1.2509,249242.99
2020-07-26,1.2509,1.6268,1.2337,1.5636,176949.97
2020-07-27,1.5636,2.0475,1.5615,1.7874,246392.0
2020-07-28,1.7874,1.8574,1.6049,1.7776,158404.42
2020-07-29,1.7776,2.099,1.5843,1.6606,128689.05
2020-07-30,1.6606,1.8012,1.6293,1.6821,77861.31
2020-07-31,1.6821,1.6865,1.5,1.5342,75829.13
2020-08-01,1.5342,1.6675,1.4928,1.5318,83626.72
2020-08-02,1.5318,1.7499,1.3979,1.7434,97933.12
2020-08-03,1.7434,1.8381,1.6742,1.7917,92949.36
2020-08-04,1.7917,1.9476,1.7893,1.8695,101118.04
2020-08-05,1.8695,1.8854,1.7056,1.7451,80462.26
2020-08-06,1.7451,2.2212,1.7353,2.1956,90287.49
2020-08-07,2.1956,2.1956,1.8742,2.0794,89310.74
2020-08-08,2.0794,2.5776,2.017,2.4685,86632.35
2020-08-09,2.4685,2.7,2.3001,2.6475,133621.49
2020-08-10,2.6475,3.3996,2.516,3.1263,146631.6
2020-08-11,3.1263,3.4999,2.7467,3.2985,173031.53
2020-08-12,3.2985,3.9302,3.1,3.7432,220382.98
2020-08-13,3.7432,4.1216,3.508,3.7268,239672.54
2020-08-14,3.7268,3.7687,3.3189,3.4096,124863.49
2020-08-15,3.4096,3.72,3.1517,3.1671,75725.33
2020-08-16,3.1671,3.4645,3.13,3.3679,78614.71
2020-08-17,3.3679,3.3778,3.1009,3.1091,59476.68
2020-08-18,3.1091,3.7259,2.8724,3.3313,214996.1
2020-08-19,3.3313,3.4891,2.7988,2.8873,172689.78
2020-08-20,2.8873,3.4348,2.8859,3.2067,96316.79
2020-08-21,3.2067,3.2282,2.9,2.9306,84587.97
2020-08-22,2.9306,3.1882,2.7443,3.0191,63973.55
2020-08-23,3.0191,3.3981,3.0089,3.27,72579.32
2020-08-24,3.27,3.614,3.2094,3.3449,142243.52
2020-08-25,3.3449,3.3519,3.0107,3.2494,165848.19
2020-08-26,3.2494,3.7916,3.1789,3.5517,231655.92
2020-08-27,3.5517,3.8475,3.2634,3.444,212157.41
2020-08-28,3.444,4.2988,3.444,4.0057,252119.44
2020-08-29,4.0057,4.095,3.7757,3.9614,177083.12
2020-08-30,3.9614,4.7008,3.8979,4.4287,200679.19
2020-08-31,4.4287,4.8711,4.0955,4.7418,192625.97
2020-09-01,4.7418,4.9444,4.2992,4.3248,180761.58
2020-09-02,4.3248,4.3478,3.6333,4.1634,225855.61
2020-09-03,4.1634,4.4401,3.4843,3.5049,272480.26
2020-09-04,3.5049,3.8238,3.1799,3.5338,214525.19
2020-09-05,3.5338,3.6508,2.1116,2.5952,332310.54
2020-09-06,2.5952,3.1631,2.2569,3.08,314998.93
2020-09-07,3.08,3.1843,2.3794,2.9283,265960.97
2020-09-08,2.9283,2.9373,2.4003,2.4649,192355.62
2020-09-09,2.4649,3.8614,2.3841,3.602,382577.22
2020-09-10,3.602,3.8572,3.3077,3.4701,324762.53
2020-09-11,3.4701,3.4981,3.0405,3.4031,217545.13
2020-09-12,3.4031,3.4618,3.1504,3.33,175833.63
2020-09-13,3.33,3.4719,3.0,3.2548,206279.38
2020-09-14,3.2548,3.5246,3.0775,3.2622,242951.38
2020-09-15,3.2622,3.3169,2.9007,2.9281,172170.05
2020-09-16,2.9281,2.9283,2.4336,2.5378,304745.1
2020-09-17,2.5378,2.9331,2.3596,2.8827,280042.76
2020-09-18,2.8827,3.1561,2.7336,3.1073,254433.99
2020-09-19,3.1073,3.2494,2.9555,3.0216,203605.2
2020-09-20,3.0216,3.0237,2.7026,2.8672,176833.05
2020-09-21,2.8672,3.0272,2.4682,2.7581,272232.9
2020-09-22,2.7581,2.9999,2.6536,2.9109,202195.98
2020-09-23,2.9109,3.0718,2.707,2.8374,137903.75
2020-09-24,2.8374,3.249,2.7792,3.1385,113616.79
2020-09-25,3.1385,3.2631,2.9002,3.1884,100373.72
2020-09-26,3.1884,3.2048,3.0298,3.1352,83601.42
2020-09-27,3.1352,3.1787,2.987,3.1578,72698.69
2020-09-28,3.1578,3.2047,2.9115,2.9544,74335.84
2020-09-29,2.9544,3.0162,2.8797,2.9473,78637.83
2020-09-30,2.9473,2.9849,2.8301,2.8964,81473.66
2020-10-01,2.8964,2.9838,2.6593,2.8652,82907.14
2020-10-02,2.8652,2.8798,2.438,2.6208,125060.69
2020-10-03,2.6208,2.665,2.5394,2.546,68765.8
2020-10-04,2.546,2.5858,2.426,2.5188,94884.41
2020-10-05,2.5188,2.6676,2.4599,2.6508,80087.76
2020-10-06,2.6508,2.6538,2.1348,2.1719,110854.86
2020-10-07,2.1719,2.3998,2.0846,2.3003,124571.1
2020-10-08,2.3003,2.4439,2.0207,2.3687,121049.21
2020-10-09,2.3687,2.6238,2.3079,2.5326,113091.74
2020-10-10,2.5326,2.5991,2.3921,2.398,89816.81
2020-10-11,2.398,2.4581,2.34,2.4253,90028.78
2020-10-12,2.4253,2.6991,2.4143,2.5829,94845.46
2020-10-13,2.5829,2.5832,2.3364,2.4011,107293.44
2020-10-14,2.4011,2.44,2.2431,2.3147,82889.17
2020-10-15,2.3147,2.3454,2.2,2.2672,79824.03
2020-10-16,2.2672,2.2677,2.1068,2.1385,91701.98
2020-10-17,2.1385,2.2394,2.1112,2.2053,73937.07
2020-10-18,2.2053,2.2538,2.1765,2.2106,64580.12
2020-10-19,2.2106,2.211,2.0499,2.0543,78549.99
2020-10-20,2.0543,2.098,1.8474,1.8862,94208.38
2020-10-21,1.8862,2.1006,1.8516,1.89,101927.33
2020-10-22,1.89,2.0862,1.87,1.9568,103235.38
2020-10-23,1.9568,1.9863,1.8489,1.9608,86252.91
2020-10-24,1.9608,1.9652,1.8805,1.9168,76127.34
2020-10-25,1.9168,1.9212,1.7602,1.7917,88786.43
2020-10-26,1.7917,1.8654,1.6116,1.6775,104377.0
2020-10-27,1.6775,1.7497,1.5898,1.708,103696.74
2020-10-28,1.708,1.724,1.4535,1.5196,138203.85
2020-10-29,1.5196,1.5752,1.4171,1.4323,96687.53
2020-10-30,1.4323,1.4708,1.3296,1.4419,143573.28
2020-10-31,1.4419,1.5562,1.4299,1.5485,81303.94
2020-11-01,1.5485,1.6451,1.5132,1.6054,90622.24
2020-11-02,1.6054,1.6397,1.4618,1.4727,90606.32
2020-11-03,1.4727,1.4812,1.4059,1.4097,86526.52
2020-11-04,1.4097,1.4148,1.2731,1.3906,131040.4
2020-11-05,1.3906,1.4893,1.3017,1.4012,113035.25
2020-11-06,1.4012,1.9445,1.3961,1.9048,168528.99
2020-11-07,1.9048,2.4789,1.839,2.0236,268483.59
2020-11-08,2.0236,2.2712,1.9616,2.1578,203377.22
2020-11-09,2.1578,2.1947,1.954,2.0323,123373.64
2020-11-10,2.0323,2.323,2.0092,2.2632,122412.58
2020-11-11,2.2632,2.2964,1.968,2.0026,113534.68
2020-11-12,2.0026,2.0564,1.8245,1.9042,104680.54
2020-11-13,1.9042,2.0755,1.8991,2.0137,112053.15
2020-11-14,2.0137,2.0315,1.8699,1.9179,99446.03
2020-11-15,1.9179,2.215,1.9151,2.0409,128299.19
2020-11-16,2.0409,2.3633,1.9914,2.2628,134238.53
2020-11-17,2.2628,2.3221,2.1302,2.1951,106637.59
2020-11-18,2.1951,2.2111,1.9998,2.1136,110339.0
2020-11-19,2.1136,2.1815,2.0141,2.0823,99151.54
2020-11-20,2.0823,2.2322,2.0528,2.0995,98543.41
2020-11-21,2.0995,2.5029,2.0355,2.389,134438.22
2020-11-22,2.389,2.4178,2.0484,2.1527,141420.25
2020-11-23,2.1527,2.3581,2.1149,2.2793,129833.26
2020-11-24,2.2793,2.4678,2.1347,2.2831,191645.59
2020-11-25,2.2831,2.486,2.172,2.2655,152634.97
2020-11-26,2.2655,2.3086,1.729,1.9062,185745.6
2020-11-27,1.9062,1.9676,1.7701,1.8603,108353.99
2020-11-28,1.8603,1.9373,1.8046,1.8856,94694.08
2020-11-29,1.8856,1.9435,1.8502,1.9142,76876.39
2020-11-30,1.9142,2.0132,1.9042,1.964,102564.6
2020-12-01,1.964,2.1331,1.9197,1.9742,165341.8
2020-12-02,1.9742,2.1967,1.946,2.1134,103751.01
2020-12-03,2.1134,2.2311,2.0786,2.0989,132643.57
2020-12-04,2.0989,2.1111,1.8354,1.8501,100526.66
2020-12-05,1.8501,1.9798,1.8208,1.9785,87971.59
2020-12-06,1.9785,1.9881,1.8105,1.8512,78669.12
2020-12-07,1.8512,1.8973,1.8078,1.827,70999.28
2020-12-08,1.827,1.828,1.6284,1.6628,114114.13
2020-12-09,1.6628,1.6753,1.5011,1.6588,124014.47
2020-12-10,1.6588,1.6663,1.5406,1.5666,114188.45
2020-12-11,1.5666,1.5764,1.4331,1.4379,157412.56
2020-12-12,1.4379,1.5386,1.4376,1.4908,123300.87
2020-12-13,1.4908,1.6449,1.4571,1.5655,135479.67
2020-12-14,1.5655,1.624,1.5221,1.5897,140072.2
2020-12-15,1.5897,1.8018,1.5881,1.7585,200762.07
2020-12-16,1.7585,1.7909,1.6042,1.7798,174627.89
2020-12-17,1.7798,1.7997,1.6435,1.679,188062.53
2020-12-18,1.679,1.707,1.6316,1.6988,131880.48
2020-12-19,1.6988,1.7653,1.6598,1.6674,181449.12
2020-12-20,1.6674,1.6866,1.5221,1.5615,220637.79
2020-12-21,1.5615,1.6189,1.4913,1.5415,175267.58
2020-12-22,1.5415,1.576,1.4728,1.4844,64886.68
2020-12-23,1.4844,1.5086,1.0767,1.1988,75132.61
2020-12-24,1.1988,1.366,1.1563,1.3655,79788.44
2020-12-25,1.3655,1.4657,1.3212,1.4451,828565.37
2020-12-26,1.4451,1.4484,1.3144,1.3228,537170.51
2020-12-27,1.3228,1.4133,1.2646,1.302,1193014.94
2020-12-28,1.302,1.5242,1.2947,1.5172,885196.0
2020-12-29,1.5172,1.7302,1.4407,1.6763,1397896.71
2020-12-30,1.6763,1.6842,1.5285,1.532,249221.01
2020-12-31,1.532,1.5493,1.4265,1.51,232363.93
2021-01-01,1.51,1.858,1.5,1.8399,375820.5
2021-01-02,1.8399,1.9913,1.7186,1.7977,575209.67
2021-01-03,1.7977,2.3729,1.7958,2.1667,968039.09
2021-01-04,2.1667,2.489,1.871,2.489,1240981.96
2021-01-05,2.489,2.5003,2.0704,2.1569,1008899.5
2021-01-06,2.1569,2.1816,1.909,1.9304,690602.02
2021-01-07,1.9304,2.6325,1.9304,2.3679,1267084.31
2021-01-08,2.3679,3.8023,2.1877,3.2186,1163049.75
2021-01-09,3.2186,3.6702,2.9411,3.4103,488187.22
2021-01-10,3.4103,3.5693,3.1675,3.4582,298470.24
2021-01-11,3.4582,3.5201,2.5894,3.1045,1238322.38
2021-01-12,3.1045,3.8664,3.0748,3.6198,658154.36
2021-01-13,3.6198,3.6268,3.2704,3.5257,419160.3
2021-01-14,3.5257,3.5863,3.1856,3.2842,230137.77
2021-01-15,3.2842,3.4398,2.9809,3.2506,235913.01
2021-01-16,3.2506,3.7,3.2493,3.4406,302560.68
2021-01-17,3.4406,3.9689,3.3117,3.8242,381339.9
2021-01-18,3.8242,4.1541,3.6478,3.7889,278994.47
2021-01-19,3.7889,4.0336,3.6086,3.6377,191822.34
2021-01-20,3.6377,3.7442,3.3443,3.7142,274802.64
2021-01-21,3.7142,3.7344,2.9811,2.9856,306202.65
2021-01-22,2.9856,3.4951,2.5423,3.3369,392194.05
2021-01-23,3.3369,3.59,3.3116,3.5013,181229.05
2021-01-24,3.5013,3.7922,3.4916,3.6261,134603.43
2021-01-25,3.6261,3.9722,3.4527,3.7061,302742.28
2021-01-26,3.7061,4.088,3.6755,4.0375,307409.53
2021-01-27,4.0375,4.0391,3.5244,3.6863,213431.12
2021-01-28,3.6863,3.949,3.6044,3.8138,123187.86
2021-01-29,3.8138,3.8908,3.6336,3.8328,153905.74
2021-01-30,3.8328,4.31,3.7711,4.2259,180402.43
2021-01-31,4.2259,4.7964,4.1667,4.2609,236338.93
2021-02-01,4.2609,4.6104,4.1142,4.6099,122567.18
2021-02-02,4.6099,5.3969,4.4739,5.2446,253463.63
2021-02-03,5.2446,5.7835,5.0606,5.7255,145685.93
2021-02-04,5.7255,6.5282,5.5948,6.431,189228.85
2021-02-05,6.431,7.1205,6.4256,6.6822,164146.67
2021-02-06,6.6822,6.802,5.6965,6.1062,221984.96
2021-02-07,6.1062,6.8663,5.7532,6.6828,253805.4
2021-02-08,6.6828,8.0479,6.4837,7.8672,290092.5
2021-02-09,7.8672,8.475,7.5612,7.8068,196317.94
2021-02-10,7.8068,9.071,7.4758,9.071,308126.36
2021-02-11,9.071,10.0356,8.7367,9.2544,268648.0
2021-02-12,9.2544,9.9304,9.0735,9.2289,190557.55
2021-02-13,9.2289,9.4892,8.6775,8.7307,163733.99
2021-02-14,8.7307,9.2037,8.5388,8.7199,127591.22
2021-02-15,8.7199,9.3433,7.7628,8.8513,151641.43
2021-02-16,8.8513,8.9777,7.9811,8.2979,117466.11
2021-02-17,8.2979,8.434,7.5417,8.2252,199371.01
2021-02-18,8.2252,9.2939,8.2228,8.9738,127466.83
2021-02-19,8.9738,11.7934,8.5527,11.4956,310005.04
2021-02-20,11.4956,11.7899,9.8183,9.9892,192276.38
2021-02-21,9.9892,11.5152,9.8743,11.0018,175470.98
2021-02-22,11.0018,14.7156,9.2986,14.396,271188.45
2021-02-23,14.396,15.674,11.6222,15.1901,549109.28
2021-02-24,15.1901,18.1126,14.8816,17.3268,269955.25
2021-02-25,17.3268,17.7072,13.7715,13.8353,141168.9
2021-02-26,13.8353,15.5041,13.1484,13.5826,164244.33
2021-02-27,13.5826,14.7634,13.0765,13.195,96977.93
2021-02-28,13.195,13.7208,11.4589,13.0676,100683.33
2021-03-01,13.0676,15.5146,13.0292,14.9093,84214.64
2021-03-02,14.9093,15.2,13.4675,13.9272,51608.9
2021-03-03,13.9272,14.7139,13.7575,14.1172,47813.16
2021-03-04,14.1172,14.2587,12.7725,13.0823,45888.77
2021-03-05,13.0823,13.0823,12.1703,12.5562,38145.05
2021-03-06,12.5562,13.2649,11.8978,13.042,34860.65
2021-03-07,13.042,14.0,12.7269,13.8197,31956.12
2021-03-08,13.8197,13.8825,13.0685,13.6169,34728.29
2021-03-09,13.6169,15.0,13.3055,14.8653,37006.63
2021-03-10,14.8653,15.1949,14.0563,14.2545,42640.2
2021-03-11,14.2545,16.2945,13.7092,16.0101,66194.09
2021-03-12,16.0101,16.4744,14.117,14.5854,54506.51
2021-03-13,14.5854,15.3914,13.9065,15.3229,38380.52
2021-03-14,15.3229,15.3614,14.356,14.4867,35478.72
2021-03-15,14.4867,14.7936,13.7201,14.1777,40986.6
