timestamp,open,high,low,close,volume
2024-03-14,1.6217,1.6604,1.4743,1.5699,1339217.38
2024-03-15,1.5699,1.5829,1.348,1.4898,1419803.94
2024-03-16,1.4898,1.7197,1.487,1.6327,2643754.0
2024-03-17,1.6327,1.6427,1.44,1.6122,1532038.02
2024-03-18,1.6122,1.75,1.5163,1.523,1950217.55
2024-03-19,1.523,1.7357,1.4325,1.6481,2314813.61
2024-03-20,1.6481,1.7797,1.5,1.7539,2707060.27
2024-03-21,1.7539,1.9464,1.7411,1.8277,2665854.96
2024-03-22,1.8277,1.8315,1.6856,1.7306,1275087.11
2024-03-23,1.7306,1.7408,1.6431,1.6453,1544630.95
2024-03-24,1.6453,1.6988,1.6203,1.6784,1355127.13
2024-03-25,1.6784,1.7449,1.6568,1.7035,1754870.99
2024-03-26,1.7035,1.8951,1.6971,1.8887,2451014.88
2024-03-27,1.8887,2.1801,1.8563,2.0778,2929668.32
2024-03-28,2.0778,2.1635,1.96,2.0254,1243988.57
2024-03-29,2.0254,2.1595,1.9016,1.9033,1194285.87
2024-03-30,1.9033,1.9537,1.8676,1.88,635447.43
2024-03-31,1.88,1.9261,1.8658,1.9138,49487259.49
2024-04-01,1.9138,2.0247,1.8064,1.9398,1561505.83
2024-04-02,1.9398,2.002,1.7271,1.7332,1030488.92
2024-04-03,1.7332,1.7637,1.6371,1.6675,1083575.26
2024-04-04,1.6675,1.7424,1.6619,1.6835,566590.31
2024-04-05,1.6835,1.6835,1.5404,1.6076,683833.69
2024-04-06,1.6076,1.643,1.6011,1.625,291266.77
2024-04-07,1.625,1.6685,1.6172,1.641,362220.33
2024-04-08,1.641,1.7211,1.6201,1.7081,644838.91
2024-04-09,1.7081,1.7178,1.5726,1.5754,571592.9
2024-04-10,1.5754,1.5849,1.462,1.521,692772.15
2024-04-11,1.521,1.56,1.4762,1.4906,557935.97
2024-04-12,1.4906,1.5146,1.06,1.2408,1550267.11
2024-04-13,1.2408,1.2702,0.8831,1.0611,2327498.27
2024-04-14,1.0611,1.2087,1.0274,1.1994,1205222.95
2024-04-15,1.1994,1.2968,1.1168,1.1714,1039399.3
2024-04-16,1.1714,1.2323,1.1077,1.2238,638043.1
2024-04-17,1.2238,1.3576,1.1775,1.2608,1368507.0
2024-04-18,1.2608,1.2872,1.1986,1.255,953921.65
2024-04-19,1.255,1.3899,1.1376,1.3329,982979.62
2024-04-20,1.3329,1.4348,1.3053,1.4274,658057.9
2024-04-21,1.4274,1.4442,1.3423,1.3702,509816.36
2024-04-22,1.3702,1.44,1.3555,1.3925,469847.5
2024-04-23,1.3925,1.4173,1.3105,1.3258,409406.14
2024-04-24,1.3258,1.3479,1.2374,1.2508,526415.53
2024-04-25,1.2508,1.2648,1.1893,1.224,444612.01
2024-04-26,1.224,1.2309,1.1631,1.1738,371783.81
2024-04-27,1.1738,1.2325,1.1208,1.211,347699.04
2024-04-28,1.211,1.2583,1.2056,1.2179,286871.87
2024-04-29,1.2179,1.2308,1.1668,1.1908,414460.23
2024-04-30,1.1908,1.2049,1.075,1.1439,517073.37
2024-05-01,1.1439,1.1649,1.0701,1.1469,649967.36
2024-05-02,1.1469,1.1599,1.0932,1.1207,491077.46
2024-05-03,1.1207,1.1451,1.07,1.1116,1262863.63
2024-05-04,1.1116,1.1243,1.0785,1.0904,1073586.94
2024-05-05,1.0904,1.121,1.0547,1.0954,518384.15
2024-05-06,1.0954,1.1513,1.08,1.0935,1039564.88
2024-05-07,1.0935,1.1444,1.0759,1.0806,935269.99
2024-05-08,1.0806,1.0839,1.005,1.0105,943017.24
2024-05-09,1.0105,1.04,0.9753,1.0256,1268680.86
2024-05-10,1.0256,1.1091,1.0026,1.0086,1253671.45
2024-05-11,1.0086,1.0323,0.9914,0.9941,457207.92
2024-05-12,0.9941,1.0217,0.9931,1.0043,431905.24
2024-05-13,1.0043,1.0137,0.9448,0.9694,723334.64
2024-05-14,0.9694,0.9764,0.8862,0.8957,968252.61
2024-05-15,0.8957,1.0271,0.887,0.9921,1399388.57
2024-05-16,0.9921,1.0737,0.976,1.0245,1465349.16
2024-05-17,1.0245,1.1082,1.0103,1.0754,1019660.65
2024-05-18,1.0754,1.0886,1.0516,1.0813,863537.12
2024-05-19,1.0813,1.0888,1.0187,1.0275,454550.91
2024-05-20,1.0275,1.1469,1.0091,1.1467,1547759.51
2024-05-21,1.1467,1.1746,1.1202,1.1402,1129259.15
2024-05-22,1.1402,1.1542,1.0811,1.1058,780399.06
2024-05-23,1.1058,1.1338,1.0055,1.076,1797326.62
2024-05-24,1.076,1.0861,1.0319,1.0677,583540.3
2024-05-25,1.0677,1.0834,1.0513,1.0624,645692.41
2024-05-26,1.0624,1.07,1.023,1.0414,531950.48
2024-05-27,1.0414,1.0824,1.0313,1.0743,812590.37
2024-05-28,1.0743,1.0754,1.0156,1.0306,792740.66
2024-05-29,1.0306,1.0471,1.0086,1.0165,1261956.71
2024-05-30,1.0165,1.0352,0.9804,1.0128,2339482.02
2024-05-31,1.0128,1.033,0.9953,1.0235,1588206.89
2024-06-01,1.0235,1.0362,1.0109,1.024,887215.56
2024-06-02,1.024,1.0387,1.0087,1.0162,1048946.06
2024-06-03,1.0162,1.0555,1.0137,1.0398,1000730.03
2024-06-04,1.0398,1.056,1.0121,1.0541,1344648.76
2024-06-05,1.0541,1.1047,1.0464,1.1042,2896949.57
2024-06-06,1.1042,1.1357,1.0859,1.1132,2997284.88
2024-06-07,1.1132,1.1716,0.96,1.0813,5716000.17
2024-06-08,1.0813,1.1717,1.0641,1.1045,8403650.4
2024-06-09,1.1045,1.1288,1.0643,1.0935,4707185.12
2024-06-10,1.0935,1.0963,1.0319,1.0337,3787684.77
2024-06-11,1.0337,1.043,0.975,0.9923,3117237.44
2024-06-12,0.9923,1.0544,0.9601,1.0187,4981122.33
2024-06-13,1.0187,1.0204,0.9585,0.9658,4126458.79
2024-06-14,0.9658,1.003,0.9023,0.9294,5859973.01
2024-06-15,0.9294,0.9592,0.9261,0.9442,3329461.21
2024-06-16,0.9442,0.97,0.9236,0.9699,2756935.18
2024-06-17,0.9699,0.9848,0.8626,0.8909,7639349.4
2024-06-18,0.8909,0.8942,0.7546,0.8004,9889083.51
2024-06-19,0.8004,0.8758,0.7913,0.8659,7044100.84
2024-06-20,0.8659,0.9238,0.8592,0.8942,8878139.95
2024-06-21,0.8942,0.9205,0.8663,0.9199,8595652.86
2024-06-22,0.9199,0.9246,0.8877,0.8909,4148918.45
2024-06-23,0.8909,0.9432,0.8778,0.8812,5708399.23
2024-06-24,0.8812,0.8985,0.8083,0.8949,9657132.04
2024-06-25,0.8949,0.9066,0.8697,0.8785,4663057.33
2024-06-26,0.8785,0.8903,0.8206,0.8293,4585284.9
2024-06-27,0.8293,0.8712,0.8256,0.8366,3871375.7
2024-06-28,0.8366,0.8444,0.7866,0.7907,4146994.7
2024-06-29,0.7907,0.8059,0.7806,0.7827,2019376.81
2024-06-30,0.7827,0.8248,0.7734,0.8199,3544991.47
2024-07-01,0.8199,0.8355,0.8058,0.8092,2430583.63
2024-07-02,0.8092,0.8367,0.7998,0.8256,2507524.7
2024-07-03,0.8256,0.8301,0.7679,0.776,5588376.44
2024-07-04,0.776,0.7834,0.6699,0.6735,7872629.02
2024-07-05,0.6735,0.6747,0.5733,0.6439,14373741.37
2024-07-06,0.6439,0.7002,0.64,0.6939,5592874.23
2024-07-07,0.6939,0.6978,0.6369,0.6399,5761853.42
2024-07-08,0.6399,0.6967,0.6131,0.6735,8820377.77
2024-07-09,0.6735,0.7553,0.667,0.7429,6251397.4
2024-07-10,0.7429,0.7676,0.7195,0.738,5740176.41
2024-07-11,0.738,0.7785,0.7272,0.7557,5473736.4
2024-07-12,0.7557,0.7715,0.7311,0.7482,4195545.04
2024-07-13,0.7482,0.767,0.7431,0.7579,1714520.75
2024-07-14,0.7579,0.8191,0.7573,0.8074,4110671.21
2024-07-15,0.8074,0.8493,0.7933,0.844,4404227.01
2024-07-16,0.844,0.8834,0.816,0.8672,8226878.98
2024-07-17,0.8672,0.8914,0.8392,0.8392,6385586.66
2024-07-18,0.8392,0.8567,0.7869,0.811,5656093.24
2024-07-19,0.811,0.8633,0.7966,0.8539,4671887.5
2024-07-20,0.8539,0.8911,0.8435,0.8506,706470.67
2024-07-21,0.8506,0.8596,0.8114,0.859,468667.81
2024-07-22,0.859,0.9018,0.8272,0.8315,2180643.6
2024-07-23,0.8315,0.846,0.8,0.8145,1242521.63
2024-07-24,0.8145,0.8261,0.765,0.7705,640569.96
2024-07-25,0.7705,0.7715,0.7106,0.7499,890239.52
2024-07-26,0.7499,0.793,0.7468,0.7871,786821.25
2024-07-27,0.7871,0.799,0.7636,0.7843,534233.62
2024-07-28,0.7843,0.7843,0.7436,0.7497,386674.72
2024-07-29,0.7497,0.7849,0.7369,0.74,771210.58
2024-07-30,0.74,0.7511,0.6941,0.7071,13557959.96
2024-07-31,0.7071,0.7264,0.694,0.7069,393132.64
2024-08-01,0.7069,0.7172,0.658,0.6958,632001.68
2024-08-02,0.6958,0.6999,0.618,0.6377,511465.82
2024-08-03,0.6377,0.6536,0.594,0.6104,15827999.91
2024-08-04,0.6104,0.6297,0.5631,0.5776,32905940.63
2024-08-05,0.5776,0.5814,0.4625,0.5348,80619458.77
2024-08-06,0.5348,0.6156,0.5343,0.6012,53476459.11
2024-08-07,0.6012,0.6495,0.5909,0.6166,64719292.17
2024-08-08,0.6166,0.8624,0.6001,0.8519,16020551.93
2024-08-09,0.8519,0.8794,0.8251,0.8551,5730723.71
2024-08-10,0.8551,0.9584,0.8484,0.9189,9802106.89
2024-08-11,0.9189,0.93,0.8599,0.8733,10210044.3
2024-08-12,0.8733,1.116,0.8733,1.0137,15567000.02
2024-08-13,1.0137,1.0157,0.9336,0.9557,3129535.92
2024-08-14,0.9557,0.9727,0.886,0.9342,3464874.9
2024-08-15,0.9342,0.9384,0.8239,0.845,3006673.02
2024-08-16,0.845,0.8844,0.8061,0.8125,3245293.37
2024-08-17,0.8125,0.8507,0.7989,0.8283,2547429.16
2024-08-18,0.8283,0.857,0.8185,0.8238,3425661.5
2024-08-19,0.8238,0.916,0.8111,0.9012,2387096.5
2024-08-20,0.9012,0.9289,0.8663,0.871,1659534.53
2024-08-21,0.871,0.884,0.8345,0.849,1714995.14
2024-08-22,0.849,0.8647,0.8339,0.8517,1725223.43
2024-08-23,0.8517,1.0331,0.8513,1.0123,2953219.35
2024-08-24,1.0123,1.0558,0.9872,1.0178,1779288.01
2024-08-25,1.0178,1.0217,0.9592,0.9985,1382339.56
2024-08-26,0.9985,1.0141,0.9264,0.9266,1205150.49
2024-08-27,0.9266,0.9765,0.8327,0.8471,2356325.83
2024-08-28,0.8471,0.85,0.7638,0.8092,2617929.81
2024-08-29,0.8092,0.8541,0.7934,0.804,2559898.67
2024-08-30,0.804,0.8373,0.7675,0.8314,1828838.41
2024-08-31,0.8314,0.8349,0.7846,0.7963,781105.36
2024-09-01,0.7963,0.8125,0.7565,0.7603,2144253.21
2024-09-02,0.7603,0.7986,0.7412,0.7866,2442569.77
2024-09-03,0.7866,0.8371,0.7806,0.7856,2822236.51
2024-09-04,0.7856,0.8333,0.7489,0.809,2884282.82
2024-09-05,0.809,0.8401,0.7799,0.7971,2217984.14
2024-09-06,0.7971,0.8867,0.7892,0.8374,3483216.12
2024-09-07,0.8374,0.9163,0.8295,0.891,2891647.56
2024-09-08,0.891,0.9845,0.8844,0.9391,3821760.3
2024-09-09,0.9391,0.9731,0.895,0.9585,3871033.21
2024-09-10,0.9585,0.971,0.91,0.9178,2254019.03
2024-09-11,0.9178,0.9332,0.867,0.9301,2722392.22
2024-09-12,0.9301,1.07,0.9278,1.0399,4775949.87
2024-09-13,1.0399,1.0475,0.9934,1.0275,2285135.29
2024-09-14,1.0275,1.0687,1.005,1.0455,2191813.54
2024-09-15,1.0455,1.1402,1.0411,1.0788,3838868.66
2024-09-16,1.0788,1.1288,1.0237,1.0421,3822068.14
2024-09-17,1.0421,1.1895,1.0187,1.1693,5334357.27
2024-09-18,1.1693,1.3177,1.1429,1.315,6343160.19
2024-09-19,1.315,1.41,1.309,1.3793,6041001.79
2024-09-20,1.3793,1.5757,1.35,1.47,9908426.83
2024-09-21,1.47,1.5123,1.4339,1.4817,3135553.45
2024-09-22,1.4817,1.631,1.423,1.585,5156588.51
2024-09-23,1.585,1.6463,1.509,1.5367,4297044.55
2024-09-24,1.5367,1.7922,1.498,1.7419,6451174.43
2024-09-25,1.7419,1.7735,1.65,1.6984,3432465.71
2024-09-26,1.6984,1.7574,1.602,1.6403,5068615.69
2024-09-27,1.6403,1.7342,1.616,1.6566,6155637.23
2024-09-28,1.6566,1.693,1.6079,1.6869,6231610.18
2024-09-29,1.6869,1.8474,1.628,1.7585,8706194.87
2024-09-30,1.7585,1.8402,1.7025,1.7759,9274305.06
2024-10-01,1.7759,1.9328,1.6188,1.7589,11430974.27
2024-10-02,1.7589,1.9309,1.7396,1.8557,12636899.2
2024-10-03,1.8557,2.0023,1.6064,1.6625,12656271.18
2024-10-04,1.6625,1.8223,1.624,1.7727,17283580.27
2024-10-05,1.7727,1.7882,1.6922,1.7542,15768135.58
2024-10-06,1.7542,1.866,1.7087,1.8409,14528312.22
2024-10-07,1.8409,2.1672,1.8364,2.0174,21766257.96
2024-10-08,2.0174,2.1333,1.9322,1.9869,21343262.49
2024-10-09,1.9869,1.9969,1.8434,1.8756,16411856.91
2024-10-10,1.8756,1.9039,1.747,1.8345,18074562.23
2024-10-11,1.8345,2.0871,1.7933,2.0521,20187767.04
2024-10-12,2.0521,2.287,2.0036,2.242,19392313.83
2024-10-13,2.242,2.3668,2.12,2.3429,23041143.43
2024-10-14,2.3429,2.3494,2.1835,2.25,22085415.59
2024-10-15,2.25,2.2737,1.9735,2.0599,17209573.49
2024-10-16,2.0599,2.1544,1.9766,2.0832,9167972.67
2024-10-17,2.0832,2.1623,1.97,2.025,8986887.34
2024-10-18,2.025,2.15,1.9812,2.12,6633427.62
2024-10-19,2.12,2.1222,2.0364,2.0599,1213057.58
2024-10-20,2.0599,2.154,2.0401,2.1282,9398639.52
2024-10-21,2.1282,2.1795,1.97,2.0068,8870023.61
2024-10-22,2.0068,2.032,1.877,1.9393,7196405.27
2024-10-23,1.9393,1.998,1.8669,1.9775,15010785.89
2024-10-24,1.9775,2.0517,1.9262,1.9369,14080966.37
2024-10-25,1.9369,1.9437,1.65,1.7521,17459034.21
2024-10-26,1.7521,1.846,1.7011,1.7951,19542975.55
2024-10-27,1.7951,1.827,1.7251,1.7563,12033085.85
2024-10-28,1.7563,1.7881,1.6,1.7726,22588294.51
2024-10-29,1.7726,2.0984,1.7639,2.0719,21513287.53
2024-10-30,2.0719,2.132,1.9788,2.0828,16813285.36
2024-10-31,2.0828,2.0985,1.9373,1.9714,17749022.81
2024-11-01,1.9714,2.1089,1.9167,1.9897,23356448.39
2024-11-02,1.9897,2.0253,1.8691,1.9088,17435563.65
2024-11-03,1.9088,1.9633,1.7729,1.9465,20667873.79
2024-11-04,1.9465,1.9662,1.794,1.8492,8051473.36
2024-11-05,1.8492,2.0687,1.8432,2.0085,5203414.34
2024-11-06,2.0085,2.3524,2.0,2.3031,11676859.35
2024-11-07,2.3031,2.3868,2.209,2.319,27636768.01
2024-11-08,2.319,2.3807,2.2038,2.2885,30907874.86
2024-11-09,2.2885,2.8454,2.23,2.7478,42238031.39
2024-11-10,2.7478,3.15,2.6972,3.0321,90643011.39
2024-11-11,3.0321,3.332,3.0235,3.2739,48873226.44
2024-11-12,3.2739,3.329,2.8259,3.2127,28218604.6
2024-11-13,3.2127,3.44,2.8501,3.3033,28901577.09
2024-11-14,3.3033,3.5267,3.21,3.3525,17159310.09
2024-11-15,3.3525,3.6794,3.1014,3.6121,12202626.82
2024-11-16,3.6121,3.95,3.5781,3.7587,9081503.79
2024-11-17,3.7587,3.94,3.5733,3.7838,10110404.82
2024-11-18,3.7838,3.908,3.6058,3.6976,6608594.04
2024-11-19,3.6976,3.846,3.6033,3.7231,8237846.64
2024-11-20,3.7231,3.8441,3.4233,3.5254,12375037.59
2024-11-21,3.5254,3.6936,3.328,3.624,18450589.62
2024-11-22,3.624,3.6558,3.3932,3.5659,16094817.3
2024-11-23,3.5659,3.6584,3.3412,3.4373,24425159.07
2024-11-24,3.4373,3.5705,3.1555,3.3954,22029898.72
2024-11-25,3.3954,3.4834,3.1023,3.1924,20313018.06
2024-11-26,3.1924,3.5369,2.9728,3.4944,21653274.85
2024-11-27,3.4944,3.55,3.2759,3.4347,10801335.11
2024-11-28,3.4347,3.6557,3.394,3.4444,10926983.62
2024-11-29,3.4444,3.5544,3.3593,3.4864,13931574.69
2024-11-30,3.4864,3.5331,3.3899,3.4762,8537957.77
2024-12-01,3.4762,3.5336,3.3333,3.4771,10606033.34
2024-12-02,3.4771,3.4908,3.18,3.3893,12558308.07
2024-12-03,3.3893,3.8777,3.3231,3.6941,28368456.52
