timestamp,open,high,low,close,volume
2020-09-17,1.0,5.98,1.0,3.4707,5419857.77
2020-09-18,3.4707,8.5611,3.2503,6.9253,6088389.22
2020-09-19,6.9253,7.4872,5.15,5.6709,2068388.27
2020-09-20,5.6709,6.0801,4.658,5.2179,1428034.11
2020-09-21,5.2179,5.6309,4.0802,4.2425,1495661.45
2020-09-22,4.2425,4.5508,3.7168,3.9047,928918.4
2020-09-23,3.9047,5.3354,3.9022,4.3521,1393256.29
2020-09-24,4.3521,5.28,4.2895,5.1605,1172510.79
2020-09-25,5.1605,5.5442,4.8001,4.8931,691822.43
2020-09-26,4.8931,4.9894,4.6718,4.8669,547583.09
2020-09-27,4.8669,5.2015,4.7081,4.8515,562712.78
2020-09-28,4.8515,4.9409,4.19,4.2463,580787.19
2020-09-29,4.2463,4.4012,4.1302,4.3807,558963.07
2020-09-30,4.3807,4.382,3.9583,4.1495,436074.95
2020-10-01,4.1495,4.5005,3.9255,4.2404,395279.46
2020-10-02,4.2404,4.2409,3.5692,3.8978,386187.35
2020-10-03,3.8978,4.1066,3.8296,3.904,259695.14
2020-10-04,3.904,3.941,3.6163,3.7188,317720.31
2020-10-05,3.7188,3.7903,3.1896,3.3199,363437.85
2020-10-06,3.3199,3.3302,2.636,2.706,594708.27
2020-10-07,2.706,2.9972,2.4804,2.9623,639900.27
2020-10-08,2.9623,3.4533,2.6448,3.3527,632088.38
2020-10-09,3.3527,3.5886,3.18,3.3844,478773.56
2020-10-10,3.3844,3.6498,3.2749,3.2976,408957.15
2020-10-11,3.2976,3.4468,3.1857,3.3632,329931.41
2020-10-12,3.3632,3.5973,3.287,3.4567,356202.95
2020-10-13,3.4567,3.4994,3.2929,3.3514,259504.8
2020-10-14,3.3514,3.4261,2.9767,3.1107,273191.25
2020-10-15,3.1107,3.1614,2.9202,3.078,315352.85
2020-10-16,3.078,3.3679,2.8926,3.0465,344132.49
2020-10-17,3.0465,3.1148,2.9831,3.057,215467.94
2020-10-18,3.057,3.2892,3.0468,3.2809,203977.44
2020-10-19,3.2809,3.2836,3.1105,3.1723,227202.46
2020-10-20,3.1723,3.1889,2.8135,2.856,316202.74
2020-10-21,2.856,3.0832,2.8432,2.9352,371553.25
2020-10-22,2.9352,3.1451,2.9211,3.0401,226929.97
2020-10-23,3.0401,3.1191,2.97,3.0124,219005.25
2020-10-24,3.0124,3.0815,2.9283,2.9411,178098.78
2020-10-25,2.9411,2.9663,2.7087,2.7739,224957.6
2020-10-26,2.7739,2.873,2.5242,2.711,344588.78
2020-10-27,2.711,2.9064,2.7056,2.8076,307722.87
2020-10-28,2.8076,2.8545,2.5942,2.6626,286131.78
2020-10-29,2.6626,2.7358,2.4894,2.5436,211398.03
2020-10-30,2.5436,2.5604,2.2451,2.412,290232.34
2020-10-31,2.412,2.412,2.2453,2.2681,209131.84
2020-11-01,2.2681,2.4457,2.2244,2.3776,215769.14
2020-11-02,2.3776,2.4498,2.2274,2.2526,217568.21
2020-11-03,2.2526,2.2792,2.06,2.1354,231051.7
2020-11-04,2.1354,2.1646,1.8774,1.9253,253975.06
2020-11-05,1.9253,2.4105,1.7583,2.1925,484270.07
2020-11-06,2.1925,2.6788,2.1784,2.5646,397390.73
2020-11-07,2.5646,3.0232,2.399,2.4689,551284.32
2020-11-08,2.4689,2.9107,2.4333,2.8696,297524.05
2020-11-09,2.8696,2.8784,2.5731,2.6728,250367.64
2020-11-10,2.6728,3.1673,2.6215,3.0667,429670.47
2020-11-11,3.0667,3.2139,2.8987,2.9348,312734.17
2020-11-12,2.9348,3.1276,2.831,2.9626,353368.61
2020-11-13,2.9626,3.961,2.9368,3.8477,364415.5
2020-11-14,3.8477,3.9568,3.516,3.8,375516.59
2020-11-15,3.8,4.2309,3.6246,3.8517,423349.95
2020-11-16,3.8517,3.9274,3.4513,3.5731,300641.47
2020-11-17,3.5731,3.8502,3.4695,3.8049,307339.86
2020-11-18,3.8049,3.8412,3.2696,3.4614,289755.88
2020-11-19,3.4614,3.8869,3.2333,3.7268,265039.3
2020-11-20,3.7268,4.1066,3.693,3.8471,259931.93
2020-11-21,3.8471,3.9435,3.6001,3.8197,232850.36
2020-11-22,3.8197,3.9205,3.433,3.6669,241805.81
2020-11-23,3.6669,4.1999,3.6501,4.1678,230324.79
2020-11-24,4.1678,4.4602,3.9601,4.0454,325322.79
2020-11-25,4.0454,4.1814,3.5,3.6907,268660.46
2020-11-26,3.6907,3.7654,3.0987,3.4205,365342.33
2020-11-27,3.4205,3.5056,3.1538,3.327,214801.9
2020-11-28,3.327,3.5461,3.2475,3.4521,185262.15
2020-11-29,3.4521,3.5824,3.3719,3.5353,156237.25
2020-11-30,3.5353,3.8049,3.5233,3.7759,225579.47
2020-12-01,3.7759,3.9723,3.4139,3.5497,320494.16
2020-12-02,3.5497,4.1649,3.5001,3.9451,220483.28
2020-12-03,3.9451,4.018,3.8009,3.883,147335.44
2020-12-04,3.883,3.9174,3.5001,3.5195,153813.62
2020-12-05,3.5195,3.6939,3.4467,3.6827,140494.21
2020-12-06,3.6827,3.7861,3.5074,3.6504,132679.48
2020-12-07,3.6504,3.8749,3.5625,3.7562,137139.39
2020-12-08,3.7562,3.7606,3.2805,3.2981,187909.87
2020-12-09,3.2981,3.3915,3.1175,3.3546,171584.44
2020-12-10,3.3546,3.3648,3.191,3.2343,138868.8
2020-12-11,3.2343,3.2429,2.9163,2.9599,162017.57
2020-12-12,2.9599,3.1755,2.9594,3.1203,96475.95
2020-12-13,3.1203,3.3603,3.0715,3.342,90596.24
2020-12-14,3.342,3.5397,3.2357,3.4849,98068.79
2020-12-15,3.4849,3.5155,3.3066,3.3291,110865.07
2020-12-16,3.3291,3.5388,3.2444,3.5387,123241.47
2020-12-17,3.5387,3.9968,3.4441,3.6974,175535.77
2020-12-18,3.6974,3.8525,3.5467,3.7609,137698.2
2020-12-19,3.7609,4.2363,3.7031,3.9625,251408.39
